Title,Description,Needs
Write,I like to get some kind of words on a page. Even if it's garbage I find the process can help.,"Self expression,To be seen,To be heard,Need to matter,Autonomy,Authenticity,Integrity,Acceptance ,Honesty,Growth"
View previous things you've written or made,"To no one's surprise I often understand myself better than anyone else. Sometimes in a crisis I'll read something I wrote a month ago and think ""yes that's exactly it!"" - like past me is giving empathy to future me.","To be seen,To be heard,Understanding,Empathy,Appreciation,Honesty"
Make art,"Whatever kind. A scribble, a drawing, a painting, a piece of music.","To be seen,To be heard,Self expression,Autonomy,Choice,Accomplishment,Acceptance ,Growth"
Clean something,"Clean your room, your kitchen, anything. Bring order to the chaos :)","Order,Beauty,Accomplishment"
Go on walk,I know you probably hear it a lot.. but going on a walk really can make a fascinating difference. ,"Clarity,Peace,Calm,Freedom,Beauty,Autonomy,Choice,Space"
Listen to music,A lot of variety available to you here. Could benefit from calming music or raging music. You do you ;),"Peace,Self expression,To be seen,Belonging,Understanding,Serenity,Calm,Empowerment,Genuineness,Honesty"
Make a request in conversation,Often in conversation if I’m hearing something as a demand I say something like “I’m needing some autonomy I think because I’d like to be free to disagree but I’m afraid that might sound to you like criticism.” It’s not perfect but it’s something to honor what’s alive in me. ,"Autonomy,Freedom,Choice,Choose Freely,Mutuality"
View art that you connect to,"Whether it’s in your house, online, or at an exhibit sometimes you find a piece of art that moves you - like it understands you on a profound level. ","Appreciation,Respect"
Play a video game,"There is such a wide diversity of video games out there. Calming exploratory games, puzzle games, combat, story, single or multiplayer, etc. Once I get in touch with the need that is alive in me it’s fun to look for a game or game genre that might tend specifically to that. ","Acknowledgement,Freedom,Belonging,Inclusion,Community,Contribution,Control,Choice,Clarity,Causality,Act Freely,Need to matter,Friendship,Relaxation,Authenticity,Autonomy,Rest,Mattering,Beauty,To be seen,To be heard,Do things at my own pace and in my own way,Accomplishment,Growth"
Road trip,Long or short it doesn't matter. Drive around the block in silence or with music. Maybe plan a trip somewhere.,"Freedom,Act Freely,Choose Freely,Autonomy,Control,Choice,Safety,Do things at my own pace and in my own way,Privacy"
No Man's Sky,For me this game is calming. Just go harvest resources and float through space. I like to name things to as a way to feel like I'm making a difference or matter because there is a tiny chance someone someday will land on the planet and see all the names.,"Relaxation,Rest,Self expression,Mattering"
Schedule your day,Consider using pictures if lists are unhelpful. Could draw them or print them. It's not perfect but having some kind of a plan can help me,"Predictability,Control,Consistency,Order,Trust,Dependability,Commitment,Accountability,Reliability"
Reduce Mental Tasks,If you end up with a list that is overwhelming then see if you can give yourself freedom to reduce or combine tasks. For example if you can’t seem to work out regularly because of the anxiety of counting reps or planning routines consider watching a guided youtube video or finding a gym that offers a trainer. Be honest and try to let any shame leave your body if you can. We can’t all do everything like everyone else :),Physical Fitness
Play a social video game,"Some games involve other human interactions, corporatize games are sometimes called “PVE” (player vs environment) but other games that have compelling fictional characters could also be nice. Similar to reading a book you can build relationships with the characters and find connection in relating to their experience. ","Connection,Belonging,Participation"
Read a character driven novel,"When we read a book the world and it’s inhabitants can feel especially personal. We can build very powerful connections this way and can go a long way in helping us feel less alone in the world. It’s okay for those relationships to mean so much to us, that’s why the author worked so hard on them <3","Connection,Belonging"
Mindfulness (Trust),"Reflect on moments you’ve reliably done what you intended to. From things like getting out of bed (eventually) to doing chores or keeping a promise to a friend. Every moment you make it through, each next breath you take, you prove to your friends and family that you can be trusted to keep living. If someone is not able to extend trust to you it doesn’t have to mean you are untrustworthy. It just means they have a need too which is not being met for some reason. I find when I engage my thoughts this way it’s easier to have compassion on myself and others. ","Trust,Dependability"
Write a letter ,To a friend or a senator. Advocate for yourself or others. ,"Equality,Fairness,Justice"
Compassionate meditation,"Reflect on decision you made that you regret and listen for the need you were trying to meet. Leave room to grieve how tragic it is that in that moment no better strategies came to mind. 
Do the same exercise reflecting on past pains you’ve endured from others. Consider what need was not met for you when they did or did not do a specific thing. Honor the need that wasn’t met. Consider what need they have had and grieve how tragic it is that no better strategies came to mind for them in that moment - strategies that could have included your needs.  ",Fairness
Make a list and check things off,If you make the tasks small enough so as to avoid becoming overwhelmed the experience of checking something off a list can be very powerful. Things like “10 minutes playing piano scales” or “10 minutes cleaning the kitchen” are a great start. Set a timer and allow yourself to feel repeat when the ten minutes are up. Don’t force yourself to go past these simple goal. Enjoy having make a goal and achieved it. ,Accomplishment
Watch a comfort show,Try to make space to watch a tv show or movie that feels something like home for you.,"Security ,Safety"
(Honor) Reflection Meditation,"Reflect on moments this need has been met in the past. Was it an award you received? Verbal affirmation from a loved one? Consider calling a trusted friend and making a very vulnerable and specific request. ""I'm wondering if you could tell me that even though I haven't accomplished some of my dreams, I am still beautiful person whose existence adds value to the world?"" 
Consider also if you can validate that in yourself sometimes, perhaps regularly. Reflect on art your proud of, or the children your proud to have raised, the obstacles you're overcome in life, and see if you can honor yourself in some way by meditating on those things.","Honor,Recognition"
Request a clear request,Consider asking someone to share a vulnerable and specific request with you? Call a friend or loved one and vulnerably share that you really are just wanting to make life wonderful for them but you're unsure how. Make clear that you are looking for requests that leave out all ambiguity. Ask if they would share what needs are alive in them and imagine ways you could contribute to *one* of them.,Contribution
Charity work,Consider looking for charity work in your area. Find a soup kitchen for the homeless or a local nonprofit doing work you believe in. Even just walking along picking up trash truly does make life more wonderful for your entire community - even if only in some small and sacred way.,Contribution
Sing,Find a private place to sing as loud as you’re comfortable. Sing with your favorite song in the car or if you play an instrument you could play a song you know. Search for a hymn online and sing that. ,"To be heard,Self expression,Autonomy,To be seen,Empowerment,Mattering,Need to matter,Control"
Read a poem you like aloud,Try a search online like poets.org. Search a key word related to what you’re experiencing right now. Find a poem you’re relating to and in the privacy of your room or car or closet (wherever you feel comfortable) and read the poem aloud to yourself. Let it gives you words in a time when you have none. Experience the validation that this artist understands also how you might be feeling right now and sees it as valid too. ,"To be heard,Acknowledgement,Belonging,To be seen,Need to matter,Serenity,Beauty"
Stand Largely,"Take a wide stance, place your arms up high and apart. Making a sort of X shape with your arms and legs take up as much space as possible. Trying this for about 30 seconds. We know that the postures our bodies takes often represent our emotional state and, interestingly, research suggests that this system can also work in reverse. Give your body space and see if it helps give your psychological date space too. ",Empowerment
Volunteering / Acts of Kindness,Tend to the life in others. Looks for ways that seem like trustworthy strategies to truly make life more wonderful for others. Sometimes we find that serving life in others turns out to serve life in us as well. Be careful to truly hear and identify what someone is needing before you try to do something you think they'd enjoy as it can turn out to be especially discouraging to have tried to make life wonderful for someone only to realize they were needing something else altogether. Make space for them to share their needs and make a clear request or seek out volunteer work that are confident really is doing good work.,Consideration
