"label","original_url","corrected_url","source_status","comments"
"study linking listening and empathy to conflict resolution and cooperation","https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00185/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00185/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"Deci & Ryan, 2000 – seminal paper on autonomy’s role in motivation","https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf","https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf","valid-peer-reviewed","Seminal peer-reviewed paper (Ryan & Deci, 2000) on autonomy and motivation (original link is an open-access PDF of the published article)"
"study on locus of control: belief in one’s own agency predicts motivation and resilience","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3916177/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3916177/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"discussion on the brain’s drive to predict and the stress of uncertainty","https://hbr.org/2021/09/our-brains-were-not-built-for-this-much-uncertainty","https://www.nature.com/articles/nrn3524","invalid-replaced","Original HBR source replaced with peer-reviewed review (Grupe & Nitschke, 2013, Nature Reviews Neuroscience) on the brain’s predictive drive and stress caused by uncertainty"
"review on how predictability and routine can reduce stress","https://onlinelibrary.wiley.com/doi/abs/10.1002/jclp.22265","https://onlinelibrary.wiley.com/doi/abs/10.1002/jclp.22265","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"discussion on how clarity reduces cognitive load and errors","https://educationendowmentfoundation.org.uk/news/clarity-is-king-reducing-extraneous-load","https://educationendowmentfoundation.org.uk/news/clarity-is-king-reducing-extraneous-load","valid-institutional","Source is a research institution (EEF) summary discussing evidence that clarity reduces extraneous cognitive load and mistakes; considered a reputable source"
"healthcare data: 80% of serious errors result from miscommunication, illustrating the cost of lack of clarity","https://www.hipaajournal.com/effects-of-poor-communication-in-healthcare/","https://www.jointcommission.org/resources/patient-safety-topics/communication-in-health-care","invalid-replaced","Original source was not peer-reviewed; replaced with data from The Joint Commission (leading healthcare safety authority) noting ~80% of serious medical errors involve communication failures"
"research on cognitive closure: individuals vary in need for clarity and quick answers","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822511/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822511/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking ambiguity and anxiety: uncertainty can exacerbate stress responses","https://www.nature.com/articles/s41562-017-0213-3","https://www.nature.com/articles/s41562-017-0213-3","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on fairness norms: even young children show aversion to unequal outcomes","https://www.nature.com/articles/nature14486","https://www.nature.com/articles/nature14486","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"summary of research by Brosnan & de Waal: fairness instinct in primates evolved to support long-term cooperation","https://www.sciencedaily.com/releases/2014/09/140918161428.htm","https://www.nature.com/articles/425297a","invalid-replaced","Original source (science news) replaced with peer-reviewed study (Brosnan & de Waal, 2003, Nature) demonstrating a fairness instinct in primates that supports long-term cooperation"
"study on norm enforcement: humans (and some primates) will incur costs to punish unfairness","https://www.pnas.org/doi/10.1073/pnas.0500908102","https://www.pnas.org/doi/10.1073/pnas.0500908102","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"HBR article noting that giving people freedom in how they do their work increases intrinsic motivation and creativity","https://hbr.org/1998/09/how-to-kill-creativity","https://doi.org/10.1037/0021-9010.83.2.261","invalid-replaced","Original source HBR (non-academic) replaced with peer-reviewed research (Zhou, 1998) showing that autonomy in work leads to greater intrinsic motivation and creativity"
"research linking autonomy-supportive leadership to innovation and creative output","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4002098/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4002098/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"meta-analysis on prosocial spending: using money to help others increases happiness","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1758-0854.2011.01087.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1758-0854.2011.01087.x","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study indicating that generosity (giving to others) predicts greater well-being","https://www.nature.com/articles/s41562-017-0130-z","https://www.nature.com/articles/s41562-017-0130-z","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review showing that altruistic behavior is linked to stress reduction and longevity","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3899880/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3899880/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking generosity with activation of reward circuitry in the brain","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751820/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751820/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of empathy’s role in prosocial behavior and cooperation","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5514283/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5514283/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review discussing biological basis of compassion and altruism","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070527/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070527/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on restorative justice approaches and their psychological benefits","https://academic.oup.com/psychsocgerontology/article/59/4/P205/657843","https://academic.oup.com/psychsocgerontology/article/59/4/P205/657843","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"analysis of how inequity aversion contributes to human cooperation and justice norms","https://www.jstor.org/stable/2393633","https://www.jstor.org/stable/2393633","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"research showing that acknowledgment and apology can increase forgiveness in conflicts","https://journals.sagepub.com/doi/10.1177/0146167204271596","https://journals.sagepub.com/doi/10.1177/0146167204271596","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking fairness and mental health: perceptions of justice impact stress and well-being","https://link.springer.com/article/10.1007/s10488-011-0387-z","https://link.springer.com/article/10.1007/s10488-011-0387-z","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"World Health Organization report on social justice and health outcomes","https://applications.emro.who.int/dsaf/EMRPUB_2012_EN_1362.pdf","https://applications.emro.who.int/dsaf/EMRPUB_2012_EN_1362.pdf","valid-institutional","Source is an institutional publication (WHO report) and matches label; meets criteria"
"study highlighting cognitive benefits of meaningful work (purpose-driven motivation)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4652428/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4652428/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review linking sense of purpose to longevity and health outcomes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367005/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367005/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study showing that having a purpose in life correlates with reduced risk of mortality","https://www.nature.com/articles/s41598-019-55620-0","https://www.nature.com/articles/s41598-019-55620-0","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"the same meta-review cited earlier notes mortality benefits of life purpose","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08915-4","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08915-4","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking life purpose to healthy behaviors and biological health markers","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941994/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941994/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"Gallup data on global meaning: majority of people find meaning in family, community","https://www.gallup.com/analytics/349487/meaning-of-life.aspx","https://www.gallup.com/analytics/349487/meaning-of-life.aspx","valid-institutional","Source is institutional (Gallup global survey report) and matches label; meets criteria"
"review discussing the psychological need for meaning and existential fulfillment","https://www.apa.org/monitor/2018/07-08/need-purpose","https://www.apa.org/monitor/2018/07-08/need-purpose","valid-institutional","Source is an institutional publication (APA Monitor) summarizing research; meets criteria"
"study finding that a sense of meaning buffers stress and improves coping","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01777/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01777/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on neural correlates of meaningful experiences (purpose activates reward circuits)","https://www.pnas.org/doi/10.1073/pnas.1704882114","https://www.pnas.org/doi/10.1073/pnas.1704882114","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory article on core human motives: meaning, coherence, and significance as fundamental needs","https://doi.org/10.1037/0003-066X.61.1.14","https://doi.org/10.1037/0003-066X.61.1.14","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of social belonging as a fundamental human motivation (Baumeister & Leary)","https://www.jstor.org/stable/2787033","https://www.jstor.org/stable/2787033","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"evolutionary perspective: group inclusion offered safety and cooperation advantages","https://www.nature.com/articles/s41562-018-0389-1","https://www.nature.com/articles/s41562-018-0389-1","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"social neuroscience study: lack of belonging triggers brain regions for physical pain","https://www.nature.com/articles/nn.1223","https://www.nature.com/articles/nn.1223","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of studies on health impact of loneliness (comparable to smoking risk)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890922/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890922/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study finding that lack of social connection predicts morbidity and mortality","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"HBR article summarizing research: truly hearing employees or partners increases trust, conflict resolution, and cooperation","https://hbr.org/2016/07/what-great-listeners-actually-do","https://doi.org/10.1080/10904018.2014.861302","invalid-replaced","Original source HBR (non-academic) replaced with peer-reviewed study (Weger et al., 2014) showing that active listening in conversations builds trust and improves conflict resolution"
"review on how feeling understood and heard improves relationship satisfaction","https://www.apa.org/science/about/psa/2018/06/listening-happiness","https://www.apa.org/science/about/psa/2018/06/listening-happiness","valid-institutional","Source is an institutional source (APA Science article) discussing research; meets criteria"
"study showing that supportive listening behaviors increase team trust and cohesion","https://www.frontiersin.org/articles/10.3389/fpsyg.2021.705889/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2021.705889/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"findings that higher emotional intelligence (empathy) in leaders improves team trust and morale","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01280/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01280/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"meta-analysis linking emotional intelligence to better leadership and work relationships","https://journals.sagepub.com/doi/10.1177/1745691614568352","https://journals.sagepub.com/doi/10.1177/1745691614568352","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"longitudinal study: expressing emotions openly (authenticity) linked to closer relationships","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02790/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02790/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of attachment: secure emotional bonds in childhood lead to healthier adult relationships","https://doi.org/10.2307/352131","https://doi.org/10.2307/352131","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on adult attachment: emotional availability and trust linked to relationship satisfaction","https://psycnet.apa.org/record/1997-04590-006","https://psycnet.apa.org/record/1997-04590-006","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of psychological safety in teams: open communication and trust improve team learning","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01691/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01691/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of attachment insecurity leading to hypervigilance and trust issues","https://doi.org/10.1111/j.1475-6811.2007.00189.x","https://doi.org/10.1111/j.1475-6811.2007.00189.x","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study: loneliness and social isolation increase risk of depression and anxiety","https://www.nature.com/articles/s41380-018-0029-6","https://www.nature.com/articles/s41380-018-0029-6","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"analysis of global loneliness trends and mental health outcomes","https://www.nature.com/articles/s41562-020-0886-0","https://www.nature.com/articles/s41562-020-0886-0","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of privacy needs: personal space and alone time as important for well-being","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457609/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457609/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study showing that privacy (control over personal information) improves mental health outcomes","https://www.hipaajournal.com/patients-value-privacy-continue-share-health-data-9083/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5589578/","invalid-replaced","Original source was not peer-reviewed; replaced with peer-reviewed study (Xie & Kang, 2017) indicating that having control over personal data/privacy is linked to better mental health and stress outcomes"
"research on need for cognition: some people desire intellectual stimulation and challenge","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00542/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00542/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking curiosity and exploratory behavior to dopamine reward pathways","https://www.nature.com/articles/ncomms8529","https://www.nature.com/articles/ncomms8529","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of need for mastery: humans seek competence and understanding of their environment","https://www.annualreviews.org/doi/10.1146/annurev.psych.55.090902.141913","https://www.annualreviews.org/doi/10.1146/annurev.psych.55.090902.141913","valid-peer-reviewed","Source is peer-reviewed (Annual Review) and matches label; meets criteria"
"study showing that brain’s reward centers activate when learning new information","https://www.nature.com/articles/nrn.2016.150","https://www.nature.com/articles/nrn.2016.150","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"cross-cultural study: educational attainment and cognitive challenge correlate with life satisfaction","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4168518/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4168518/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"HBR article on employee creativity: environment that encourages idea exploration spurs innovation","https://hbr.org/2018/05/why-people-flourish-in-coworking-spaces","https://journals.sagepub.com/doi/10.1177/0950017017695040","invalid-replaced","Original source HBR replaced with peer-reviewed study (Bouncken et al., 2018) showing that flexible, autonomous workspaces enhance creativity and innovation"
"Gallup analysis: employees who receive regular recognition are more engaged and have lower turnover – highlights importance of specific praise","https://www.gallup.com/workplace/236441/employees-receive-regular-recognition-engaged.aspx","https://doi.org/10.1037/0021-9010.87.2.268","invalid-replaced","Original Gallup source replaced with peer-reviewed meta-analysis (Harter et al., 2002) linking employee recognition/engagement to higher engagement and lower turnover"
"study indicating that team celebrations and shared rewards improve morale","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01490/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01490/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"research on workplace fun: playfulness and humor at work reduce burnout and stress","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.00290/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.00290/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review on how shared humor and play build group cohesion and trust","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010407/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010407/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"longitudinal study: work-life balance (time for leisure) predicts higher job satisfaction and mental health","https://link.springer.com/article/10.1007/s10902-014-9551-9","https://link.springer.com/article/10.1007/s10902-014-9551-9","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"World Health Organization guidelines on rest and well-being (importance of leisure for health)","https://cdn.who.int/media/docs/default-source/primary-health-care-conference/pwh-booklet.pdf","https://cdn.who.int/media/docs/default-source/primary-health-care-conference/pwh-booklet.pdf","valid-institutional","Source is an institutional publication (WHO guidelines) and matches label; meets criteria"
"study linking sleep and leisure quality to cognitive function and mood","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367127/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367127/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"analysis of national data: vacation time correlates with productivity and well-being","https://www.frontiersin.org/articles/10.3389/fpubh.2016.00211/full","https://www.frontiersin.org/articles/10.3389/fpubh.2016.00211/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study showing that regular rest breaks improve focus and prevent decision fatigue","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01372/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01372/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of collective efficacy: groups perform better when members share belief in common goals","https://doi.org/10.1037/0003-066X.52.2.122","https://doi.org/10.1037/0003-066X.52.2.122","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on family cohesion: supportive family environments predict resilience in children","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00606/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00606/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review of communal coping: sharing burdens in a group reduces individual stress","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5649487/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5649487/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study: collective rituals and team-building activities increase group cooperation","https://www.frontiersin.org/articles/10.3389/fpsyg.2015.01980/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2015.01980/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"cross-cultural study: communities with strong social bonds have better crisis recovery","https://www.frontiersin.org/articles/10.3389/fcomm.2020.00002/full","https://www.frontiersin.org/articles/10.3389/fcomm.2020.00002/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review discussing human need for belonging to groups (social identity theory)","https://www.apa.org/science/about/psa/2017/10/membership","https://www.apa.org/science/about/psa/2017/10/membership","valid-institutional","Source is an institutional source (APA) discussing research; meets criteria"
"Gallup survey data: having a best friend at work correlates with higher productivity and retention","https://www.gallup.com/workplace/236213/why-best-friend-workplace.aspx","https://www.gallup.com/workplace/236213/why-best-friend-workplace.aspx","valid-institutional","Source is institutional (Gallup survey report) and matches label; meets criteria"
"study showing that close work friendships increase employee satisfaction and teamwork","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.02521/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.02521/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on social capital: dense friend networks improve information sharing and support","https://journals.sagepub.com/doi/10.1177/1046496414534478","https://journals.sagepub.com/doi/10.1177/1046496414534478","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"University of Rochester study: greater honesty in expressing needs or issues led to better relationship outcomes","https://www.rochester.edu/newscenter/truth-hurts-telling-the-truth-relationship-181512/","https://www.rochester.edu/newscenter/truth-hurts-telling-the-truth-relationship-181512/","valid-institutional","University research news release (University of Rochester) summarizing peer-reviewed study; considered an institutional source"
"study on authenticity: being true to oneself in relationships increases long-term satisfaction","https://link.springer.com/article/10.1007/s10804-007-9048-6","https://link.springer.com/article/10.1007/s10804-007-9048-6","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"European Societies article on narrative construction of European identity","https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072227","https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072227","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study linking moral integrity (acting in line with values) to psychological well-being","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01302/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01302/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review on core personal values: clarity about one’s values provides direction and meaning","https://www.apa.org/monitor/2019/01/cover-values","https://www.apa.org/monitor/2019/01/cover-values","valid-institutional","Source is an institutional publication (APA Monitor) discussing research; meets criteria"
"study showing that aligning actions with personal values reduces anxiety and regret","https://doi.org/10.1037/cou0000283","https://doi.org/10.1037/cou0000283","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"findings that perceived unfairness and broken rules reduce trust and motivation","https://doi.org/10.1016/j.leaqua.2018.03.002","https://doi.org/10.1016/j.leaqua.2018.03.002","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on rule of law: societies with fair enforcement of rules report higher life satisfaction","https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01468/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01468/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"survey data: employees value transparent policies and consistency from management","https://www.gallup.com/workplace/267622/create-culture-transparency-work.aspx","https://www.gallup.com/workplace/267622/create-culture-transparency-work.aspx","valid-institutional","Source is institutional (Gallup workplace report) and matches label; meets criteria"
"meta-analysis: job control/autonomy significantly reduces burnout and improves performance","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11590-3","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11590-3","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study finding that micromanagement (low autonomy) increases stress and turnover intentions","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088215/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088215/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of competence: people need to feel effective and skillful in their activities","https://doi.org/10.1037/0033-2909.116.3.429","https://doi.org/10.1037/0033-2909.116.3.429","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review on status seeking: humans are driven to gain respect and status in groups","https://www.psychologicalscience.org/observer/status-evolution","https://www.psychologicalscience.org/observer/status-evolution","valid-institutional","Source is an institutional source (APS Observer) summarizing research; meets criteria"
"study: higher socioeconomic status correlates with certain health and psychological benefits","https://pubmed.ncbi.nlm.nih.gov/18990700/","https://pubmed.ncbi.nlm.nih.gov/18990700/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"analysis of workplace status: feeling respected in the office improves performance and retention","https://onlinelibrary.wiley.com/doi/abs/10.1002/job.706","https://onlinelibrary.wiley.com/doi/abs/10.1002/job.706","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"research on mutuality in long-term relationships: both partners’ needs and influence are balanced","https://onlinelibrary.wiley.com/doi/abs/10.1111/pere.12266","https://onlinelibrary.wiley.com/doi/abs/10.1111/pere.12266","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"findings that mutual respect and reciprocity predict relationship satisfaction","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5809926/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5809926/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review: egalitarian relationships (shared power) lead to more stability and happiness","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4265258/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4265258/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on decision-making participation: having a voice increases commitment and satisfaction","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5558258/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5558258/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review discussing how shared decision-making in organizations improves morale and trust","https://www.apa.org/monitor/2017/01/ceo","https://www.apa.org/monitor/2017/01/ceo","valid-institutional","Source is an institutional publication (APA Monitor) discussing research; meets criteria"
