need,slots,suffix,example,patterns,patternsJson,entryExtraJson,cueExtraJson
Empathy/Understanding,time|context|social|actions,interrupted,"While I was finishing a sentence, (other person) started talking about a different topic.","\b(?:interrupted|cut\s+me\s+off|talked\s+over)\b[^\n]{0,80}\b(?:while|as)\b[^\n]{0,80}\b(?:I\s+was|we\s+were)","[""\\b(?:interrupted|cut\\s+me\\s+off|talked\\s+over)\\b[^\\n]{0,80}\\b(?:while|as)\\b[^\\n]{0,80}\\b(?:I\\s+was|we\\s+were)""]",,
Empathy/Understanding,time|context|social|actions,dismissed-feelings,"When I said I was hurt, they replied ""you're overreacting"" without asking more.","\b(?:said|told)\b[^\n]{0,80}\b(?:you'?re|I'?m|they're)\s+(?:overreacting|too\s+sensitive|fine|dramatic|making\s+it\s+up)","[""\\b(?:said|told)\\b[^\\n]{0,80}\\b(?:you'?re|I'?m|they're)\\s+(?:overreacting|too\\s+sensitive|fine|dramatic|making\\s+it\\s+up)""]",,
Empathy/Understanding,time|context|social|actions,ignored-clarify,I asked them to repeat what they heard and they kept reading from their notes.,"\b(?:asked|requested)\b[^\n]{0,80}\b(?:repeat|say\s+back|clarify|explain)\b[^\n]{0,80}\b(?:they\s+kept|they\s+continued|they\s+didn'?t)","[""\\b(?:asked|requested)\\b[^\\n]{0,80}\\b(?:repeat|say\\s+back|clarify|explain)\\b[^\\n]{0,80}\\b(?:they\\s+kept|they\\s+continued|they\\s+didn'?t)""]",,
Meaning/Contribution,time|context|actions,credit-omitted,The project announcement went out without my name on the contributors list.,"\b(?:report|deck|presentation|announcement|summary)\b[^\n]{0,80}\b(?:left|omitted|without|missing)\b[^\n]{0,80}\b(?:my\s+name|credit|attribution)","[""\\b(?:report|deck|presentation|announcement|summary)\\b[^\\n]{0,80}\\b(?:left|omitted|without|missing)\\b[^\\n]{0,80}\\b(?:my\\s+name|credit|attribution)""]",,
Meaning/Contribution,time|context|actions,idea-set-aside,They set my proposal aside without any discussion.,"\b(?:idea|proposal|plan|draft|contribution)\b[^\n]{0,80}\b(?:ignored|dismissed|set\s+aside|shelved)\b[^\n]{0,80}\b(?:without|no)\b[^\n]{0,80}\b(?:discussion|feedback)","[""\\b(?:idea|proposal|plan|draft|contribution)\\b[^\\n]{0,80}\\b(?:ignored|dismissed|set\\s+aside|shelved)\\b[^\\n]{0,80}\\b(?:without|no)\\b[^\\n]{0,80}\\b(?:discussion|feedback)""]",,
Meaning/Contribution,time|context|actions,redo-without-why,We reworked the plan without explaining why the initial work did not count.,"\b(?:redo|rework|start\s+over|scrap)\b[^\n]{0,80}\b(?:without|no)\b[^\n]{0,80}\b(?:explanation|reason|context)","[""\\b(?:redo|rework|start\\s+over|scrap)\\b[^\\n]{0,80}\\b(?:without|no)\\b[^\\n]{0,80}\\b(?:explanation|reason|context)""]",,
Safety/Security,time|context|actions,door-unsecured,The security door was propped open all evening.,"\b(?:door|gate|entrance|exit)\b[^\n]{0,80}\b(?:propped|left|kept)\b[^\n]{0,80}\b(?:open|unlocked|ajar)","[""\\b(?:door|gate|entrance|exit)\\b[^\\n]{0,80}\\b(?:propped|left|kept)\\b[^\\n]{0,80}\\b(?:open|unlocked|ajar)""]",,
Safety/Security,time|context|actions,alarm-offline,The alarm panel showed the sensor offline and nobody addressed it.,"\b(?:alarm|detector|safety\s+system|sensor)\b[^\n]{0,80}\b(?:fault|offline|not\s+working|failed|silenced)","[""\\b(?:alarm|detector|safety\\s+system|sensor)\\b[^\\n]{0,80}\\b(?:fault|offline|not\\s+working|failed|silenced)""]",,
Safety/Security,time|context|actions,protocol-skipped,They skipped the safety check before starting (task detail).,"\b(?:skipped|ignored|bypassed)\b[^\n]{0,80}\b(?:safety|security|checklist|protocol|inspection)","[""\\b(?:skipped|ignored|bypassed)\\b[^\\n]{0,80}\\b(?:safety|security|checklist|protocol|inspection)""]",,
Safety/Security,time|context|actions,plan-change-message,"We agreed to have dinner at home at 7 p.m., but at 7:20 p.m. they still weren't home and had texted at 6:55 that they were staying late at work.","\bagreed\s+to\b[^\n]{0,80}\bat\s+\d|\b(?:text(?:ed)?|messag(?:ed|e)|sent)\b[^\n]{0,80}\bat\s+\d[^\n]{0,80}\b(?:stay(?:ing)?\s+late\s+at\s+work)|\b(?:not\s+home|wasn'?t\s+home|weren't\s+home)\b[^\n]{0,40}\b(?:yet|by\s+\d)","[""\\bagreed\\s+to\\b[^\\n]{0,80}\\bat\\s+\\d"",""\\b(?:text(?:ed)?|messag(?:ed|e)|sent)\\b[^\\n]{0,80}\\bat\\s+\\d[^\\n]{0,80}\\b(?:stay(?:ing)?\\s+late\\s+at\\s+work)"",""\\b(?:not\\s+home|wasn'?t\\s+home|weren't\\s+home)\\b[^\\n]{0,40}\\b(?:yet|by\\s+\\d)""]",,
Autonomy/Freedom,time|context|actions,forced-decision,They asked me to sign immediately without time to review.,"\b(?:told|forced|required|had\s+to)\b[^\n]{0,80}\b(?:sign|agree|commit|decide)\b[^\n]{0,80}\b(?:immediately|on\s+the\s+spot|right\s+away|without\s+review)","[""\\b(?:told|forced|required|had\\s+to)\\b[^\\n]{0,80}\\b(?:sign|agree|commit|decide)\\b[^\\n]{0,80}\\b(?:immediately|on\\s+the\\s+spot|right\\s+away|without\\s+review)""]",,
Autonomy/Freedom,time|context|actions,schedule-overwrite,My calendar block was overwritten with another meeting.,"\b(?:calendar|schedule|availability)\b[^\n]{0,80}\b(?:overridden|overrode|replaced|ignored)","[""\\b(?:calendar|schedule|availability)\\b[^\\n]{0,80}\\b(?:overridden|overrode|replaced|ignored)""]",,
Autonomy/Freedom,time|context|actions,permission-for-routine,I had to get permission before sending a routine update.,"\b(?:had\s+to|needed\s+to)\b[^\n]{0,80}\b(?:ask|get)\b[^\n]{0,80}\b(?:permission|approval)\b[^\n]{0,80}\b(?:before|to)","[""\\b(?:had\\s+to|needed\\s+to)\\b[^\\n]{0,80}\\b(?:ask|get)\\b[^\\n]{0,80}\\b(?:permission|approval)\\b[^\\n]{0,80}\\b(?:before|to)""]",,
Beauty/Peace/Play,time|context|sensory,harsh-lighting,The fluorescent lights flickered through the entire evening.,"\b(?:fluorescent|harsh|blaring|flickering)\b[^\n]{0,80}\b(?:lights?|lighting)","[""\\b(?:fluorescent|harsh|blaring|flickering)\\b[^\\n]{0,80}\\b(?:lights?|lighting)""]",,
Beauty/Peace/Play,time|context|sensory,constant-noise,There was a steady hum from the generator all night.,"\b(?:constant|steady|continuous|loud)\b[^\n]{0,80}\b(?:noise|hum|buzz|clatter|din|drone)","[""\\b(?:constant|steady|continuous|loud)\\b[^\\n]{0,80}\\b(?:noise|hum|buzz|clatter|din|drone)""]",,
Beauty/Peace/Play,time|context|sensory,play-canceled,Our music break was canceled to squeeze in another briefing.,"\b(?:canceled|cancelled|cut|stopped|skipped)\b[^\n]{0,80}\b(?:game|practice|music|break|art|recess|play)","[""\\b(?:canceled|cancelled|cut|stopped|skipped)\\b[^\\n]{0,80}\\b(?:game|practice|music|break|art|recess|play)""]",,
Authenticity,time|context|actions,tone-it-down,They asked me to tone down my description before the meeting.,"\b(?:asked|told)\b[^\n]{0,80}\b(?:tone\s+down|hide|mask|pretend|act\s+like|smile\s+through)","[""\\b(?:asked|told)\\b[^\\n]{0,80}\\b(?:tone\\s+down|hide|mask|pretend|act\\s+like|smile\\s+through)""]",,
Authenticity,time|context|actions,edited-without-ok,My statement was edited without checking with me.,"\b(?:edited|rewrote|changed|revised)\b[^\n]{0,80}\b(?:statement|testimony|draft|bio)\b[^\n]{0,80}\b(?:without|before)\b[^\n]{0,80}\b(?:asking|my\s+ok|my\s+consent)","[""\\b(?:edited|rewrote|changed|revised)\\b[^\\n]{0,80}\\b(?:statement|testimony|draft|bio)\\b[^\\n]{0,80}\\b(?:without|before)\\b[^\\n]{0,80}\\b(?:asking|my\\s+ok|my\\s+consent)""]",,
Authenticity,time|context|actions,blocked-sharing,I was not allowed to mention the actual numbers during the briefing.,"\b(?:wasn'?t|not)\b[^\n]{0,80}\b(?:allowed|permitted)\b[^\n]{0,80}\b(?:to\s+share|to\s+say|to\s+mention|to\s+name)","[""\\b(?:wasn'?t|not)\\b[^\\n]{0,80}\\b(?:allowed|permitted)\\b[^\\n]{0,80}\\b(?:to\\s+share|to\\s+say|to\\s+mention|to\\s+name)""]",,
