familyId,familyLabel,patternId,patternLabel,example,feelings,needs
boundaries,Boundaries / Consent / Privacy,touched-without-asking,Touched / hugged without asking,They put a hand on my shoulder without asking.,Tense|Alarmed|Angry|Scared,Autonomy|Space|Safety|Respect
boundaries,Boundaries / Consent / Privacy,privacy-invaded,Shared or showed private info,They screen-shared a direct message I sent.,Humiliated|Anxious|Angry|Hurt,Privacy|Autonomy|Trust|Respect
boundaries,Boundaries / Consent / Privacy,entered-room,Entered my space without knocking,They entered my room without knocking.,Alarmed|Tense|Angry|Anxious,Space|Privacy|Safety|Respect
boundaries,Boundaries / Consent / Privacy,space-encroached,Stood too close in public,They stood close enough that our shoulders touched.,Tense|Alarmed|Anxious|Agitated,Space|Safety|Serenity|Calm
boundaries,Boundaries / Consent / Privacy,shared-dm-publicly,Shared my private message in a public channel,A private message I sent was posted in the group channel without asking.,Embarrassed|Anxious|Hurt|Angry,Privacy|Respect|Autonomy|Safety
boundaries,Boundaries / Consent / Privacy,shared-photo-without-ask,Shared my photo/video without asking,A video of me from the event was posted without checking with me first.,Tense|Anxious|Hurt|Angry,Autonomy|Honor|Safety|Respect
property,Property / Credit,took-without-ask,Used my things without asking,They used my laptop account without asking.,Angry|Irritated|Anxious|Hurt,Respect|Control|Clarity|Trust
property,Property / Credit,broke-item,Damaged my property,They dropped my tablet; the screen cracked.,Sad|Irritated|Tense|Anxious,Love/Caring|Trust|Consideration|Acknowledgement
property,Property / Credit,no-credit,No credit / credit taken,My contribution was used without my name.,Hurt|Disappointment|Sad|Irritated,Acknowledgement|Recognition|Fairness|Respect
property,Property / Credit,edited-doc-without-permission,Edited my document without asking,Edits were made to my document without a prior check-in.,Irritated|Tense|Anxious|Hurt,Respect|Choice|Trust|Mutuality
property,Property / Credit,reused-work-without-credit,Used my contribution without naming me,My diagram appeared in the deck without my name.,Hurt|Frustrated|Disappointment|Tense,Recognition|Fairness|Respect|Integrity
public-remark,Public criticism / Micro-remark,negative-public-remark,Negative remark in public,They said 'This is a waste of time' while I spoke.,Hurt|Humiliated|Anxious|Angry,Respect|To be heard|Honor|Belonging
public-remark,Public criticism / Micro-remark,micro-remark,“Where are you really from?” etc.,They asked 'Where are you really from?' in the meeting.,Hurt|Tense|Anxious|Angry,Honor|Inclusion|Respect|Belonging
public-remark,Public criticism / Micro-remark,comparison,Unfavorable comparison,"“Unlike Alex, you don’t follow through.”",Powerless|Hurt|Angry|Humiliated,To be seen|Fairness|Acknowledgement|Respect
public-remark,Public criticism / Micro-remark,joke-at-my-expense,Made a joke about me in the group,During standup they made a joke about my work and the group laughed.,Embarrassed|Hurt|Anxious|Tense,Honor|Respect|To be heard|Belonging
public-remark,Public criticism / Micro-remark,comparison-public,Compared me to someone in front of others,They compared my output to another person during the meeting.,Disappointment|Hurt|Anxious|Irritated,Respect|Fairness|To be seen|Appreciation
info-load,Info withheld / Deadlines / Pressure,withheld-info,Key info omitted,I learned a requirement after submission closed.,Confused|Pressured|Anxious|Frustrated,Clarity|Honesty|Support|Fairness
info-load,Info withheld / Deadlines / Pressure,deadline-pressure,Late-night urgent pings / early deadline,Three pings after 10pm for a 7am turnaround.,Pressured|Overwhelmed|Tense|Anxious,Support|Clarity|Do things at my own pace and in my own way|Consideration
info-load,Info withheld / Deadlines / Pressure,new-req-near-deadline,New requirement added close to deadline,A new requirement was added two hours before the deadline.,Pressured|Overwhelmed|Anxious|Irritated,Do things at my own pace and in my own way|Clarity|Predictability|Consideration
info-load,Info withheld / Deadlines / Pressure,withheld-critical-info,Key information not shared until late,Data needed to complete the task was provided on the due date.,Anxious|Frustrated|Tense,Support|Clarity|Reliability|Consistency
environment,Noise / Mess / Queue,noise-overwhelm,Loud / repeated noise,Alarms sounded repeatedly for 20 minutes.,Overwhelmed|Tense|Irritated|Tired,Calm|Peace|Rest|Clarity
environment,Noise / Mess / Queue,mess-left,Shared space left messy,Shared sink full after agreed chore time.,Irritated|Tired|Tense|Frustrated,Consideration|Support|Order|Mutuality
environment,Noise / Mess / Queue,queue-cut,Someone cut in line,They stepped ahead of me at checkout.,Irritated|Angry|Tense|Frustrated,Fairness|Order|Respect|Consideration
environment,Noise / Mess / Queue,strong-scent,Strong scent in shared space,A strong fragrance filled the shared workspace for 30 minutes.,Overwhelmed|Tense|In pain|Irritated,Peace|Serenity|Physical Fitness|Consideration
environment,Noise / Mess / Queue,lights-flicker,Lights flickered repeatedly,The overhead lights flickered on and off several times during the meeting.,Confused|Tense|Irritated|Tired,Relaxation|Order|Predictability|Peace
environment,Noise / Mess / Queue,thermostat-change,Temperature changed sharply,The room temperature became much colder during the session.,Tense|Confused|Irritated|Tired,Serenity|Security|Peace|Consideration
money-safety,Charges / Driving,unexpected-charge,Unexpected fee / higher price,Final bill had fees not in the quote.,Bewildered|Tense|Anxious|Irritated,Clarity|Fairness|Trust|Honesty
money-safety,Charges / Driving,unsafe-driving,Texting / unsafe driving,They looked at their phone on the highway.,Scared|Tense|Alarmed|Anxious,Safety|Love/Caring|Predictability|Trust
money-safety,Charges / Driving,unexpected-fee,Unexpected fee added at checkout,A service fee appeared on the bill that wasn’t shown on the menu.,Bewildered|Anxious|Irritated,Honesty|Fairness|Clarity|Trust
money-safety,Charges / Driving,texting-while-driving,Texted while driving,"While driving, they typed on their phone at a stoplight and while moving.",Scared|Alarmed|Tense|Anxious,Safety|Love/Caring|Accountability|Calm
money-safety,Charges / Driving,speeding,Drove over posted speed by 15+ mph,The speedometer showed 70 mph in a 55 mph zone.,Scared|Tense|Alarmed|Anxious,Safety|Love/Caring|Predictability|Calm
pronouns-names,Names / Pronouns,mispronoun,Used the wrong pronouns after reminders,"After I shared my pronouns, they used different pronouns in the meeting.",Hurt|Sad|Angry|Tense,Respect|Recognition|Belonging|To be seen
pronouns-names,Names / Pronouns,deadnaming,Used my old name (deadnaming),They introduced me using a name I no longer use.,Hurt|Humiliated|Angry|Embarrassed,Respect|Recognition|Honor|To be seen
pronouns-names,Names / Pronouns,wrong-pronouns-after-reminder,Used different pronouns after reminders,"After two reminders, they used different pronouns for me in the meeting.",Hurt|Tense|Sad|Anxious,Respect|To be seen|Honor|Belonging
pronouns-names,Names / Pronouns,old-name-in-email,Used a name I don’t use in email subject,An email about me used a name I don’t use in the subject line.,Disappointment|Hurt|Tense|Anxious,Respect|Integrity|Honor|Consideration
caregiving,Caregiving / Shared Duties,pickup-missed,Didn’t do agreed pickup/childcare,They didn’t arrive for pickup at the agreed time.,Tense|Disappointment|Anxious|Tired,Reliability|Support|Predictability|Consideration
caregiving,Caregiving / Shared Duties,night-shift-imbalance,Night duties falling mostly to me,I handled the child wake-ups three nights in a row.,Tired|Resentful|Overwhelmed|Lonely,Rest|Mutuality|Fairness|Acknowledgement
caregiving,Caregiving / Shared Duties,used-supplies-last,Used last of shared supplies without note,The last of the laundry detergent was used without leaving a note.,Irritated|Anxious|Tense,Consideration|Predictability|Support|Clarity
school-classroom,School / Classroom,classroom-overstimulation,"Loud, chaotic environment",Multiple centers ran loud activities for 20+ minutes.,Overwhelmed|Tense|Tired|Irritated,Calm|Peace|Order|Clarity
school-classroom,School / Classroom,materials-not-ready,Materials not prepared as agreed,Planned materials weren’t set out by start time.,Tense|Disappointment|Anxious|Frustrated,Support|Clarity|Predictability|Reliability
school-classroom,School / Classroom,hand-raised-not-called,Hand raised but not called on,My hand was raised for two questions and I was not called on.,Lonely|Disappointment|Anxious|Tense,Inclusion|To be heard|Fairness|Participation
school-classroom,School / Classroom,group-roles-changed,Group project roles changed without checking,Roles for the group project were reassigned without asking.,Anxious|Irritated|Frustrated,Choice|Participation|Predictability|Respect
healthcare,Healthcare / Support,symptoms-dismissed,Symptoms dismissed without inquiry,I shared symptoms; the provider said 'it’s probably nothing' and changed topic.,Hurt|Anxious|Tense|Distressed,To be heard|Support|Love/Caring|Consideration
healthcare,Healthcare / Support,touch-no-consent,Exam touch without consent explanation,They began the exam without explaining or asking consent.,Alarmed|Tense|Angry|Scared,Autonomy|Choice|Safety|Respect
healthcare,Healthcare / Support,long-wait-beyond-appt,Waited beyond appointment time,The 2:00 pm appointment began at 2:45 pm.,Anxious|Tired|Irritated,Respect|Predictability|Love/Caring|Clarity
healthcare,Healthcare / Support,discussed-info-publicly,Discussed my information within earshot of others,Personal details were discussed at the desk while others were in line.,Embarrassed|Anxious|Tense|Hurt,Privacy|Honor|Safety|Respect
money-boundaries,Money / Agreements,borrow-not-returned,Borrowed money not repaid as agreed,The agreed repayment date passed with no message.,Anxious|Irritated|Tense|Resentful,Reliability|Clarity|Trust|Fairness
money-boundaries,Money / Agreements,split-uneven,Costs split unevenly without consent,Shared bill was assigned to me without prior agreement.,Frustrated|Tense|Irritated|Hurt,Fairness|Clarity|Autonomy|Respect
money-boundaries,Money / Agreements,missed-payback-date,Missed agreed payback date,The agreed payback date passed without payment or message.,Anxious|Irritated|Disappointment,Reliability|Trust|Clarity|Consideration
digital-boundaries,Digital / Online,location-shared,Shared my location/screenshot without asking,They shared my location or a screenshot with others without checking.,Distressed|Anxious|Angry|Tense,Privacy|Autonomy|Trust|Respect
digital-boundaries,Digital / Online,group-added,Added to group chat without consent,I was added to a group thread with unknown people.,Overwhelmed|Tense|Irritated|Anxious,Autonomy|Choice|Privacy|Calm
digital-boundaries,Digital / Online,tagged-photo-without-asking,Tagged me in a photo without asking,My account was tagged in a photo without checking with me.,Tense|Embarrassed|Anxious|Hurt,Autonomy|Privacy|Honor|Respect
digital-boundaries,Digital / Online,shared-message-out-of-context,Shared my message outside the original thread,A message I wrote in a private channel was pasted into a public channel.,Anxious|Hurt|Irritated,Privacy|Clarity|Autonomy|Respect
space-shared,Shared Home / Roommates,quiet-hours-ignored,Quiet hours disregarded,Loud music played past the agreed quiet hours.,Tense|Tired|Irritated|Overwhelmed,Rest|Calm|Respect|Consideration
space-shared,Shared Home / Roommates,food-taken,Ate food labeled as mine,A labeled container was empty without a note.,Irritated|Hurt|Anxious|Resentful,Respect|Trust|Clarity|Consideration
space-shared,Shared Home / Roommates,quiet-hours-audio,Played loud audio during quiet hours,Music played loudly after the agreed 10:00 pm quiet time.,Irritated|Tired|Tense|Overwhelmed,Rest|Consideration|Peace|Respect
space-shared,Shared Home / Roommates,used-my-shelf,Used my shelf/storage space without asking,Items were placed on my shelf without checking with me.,Irritated|Tense,Respect|Order|Choice|Space
conflict-process,Conflict Process,name-calling,Called me a name during conflict,They used a derogatory label while arguing.,Hurt|Angry|Humiliated|Tense,Honor|Respect|Love/Caring|To be heard
conflict-process,Conflict Process,threat-to-leave,Threatened to leave/end relationship mid-conflict,They said 'I’ll just leave' and walked toward the door.,Scared|Sad|Anxious|Tense,Security|Support|Love/Caring|Safety
conflict-process,Conflict Process,hung-up,Call ended abruptly,During our discussion the call ended without a closing.,Alarmed|Hurt|Angry|Tense,To be heard|Respect|Safety|Love/Caring
conflict-process,Conflict Process,message-burst,Sent many messages in a short time,Five messages arrived within one minute during the argument.,Overwhelmed|Anxious|Tense|Irritated,Calm|Relaxation|Clarity|Support
work-collab,Work / Collaboration,meeting-overbook,Booked over prior commitment without asking,A meeting invite overlapped a blocked time without checking.,Pressured|Tense|Resentful|Frustrated,Autonomy|Respect|Clarity|Choice
work-collab,Work / Collaboration,feedback-public,Critical feedback given in public,They gave critical feedback during a group call.,Humiliated|Anxious|Hurt|Angry,Honor|To be heard|Respect|Consideration
work-collab,Work / Collaboration,merged-without-review,Merged change without review,The pull request was merged without a reviewer.,Anxious|Irritated|Tense,Trust|Integrity|Mutuality|Order
work-collab,Work / Collaboration,reassigned-without-message,Reassigned ticket without a message,The issue was reassigned away from me without a note to check in.,Anxious|Irritated|Hurt,Respect|Choice|Clarity|Predictability
work-collab,Work / Collaboration,removed-comment,Removed or resolved my comment without reply,My document comment was resolved without a response.,Hurt|Frustrated|Tense|Sad,To be heard|Respect|Honesty|Participation
quality-time,Quality time / Attention,phone-during-convo,Phone used while I was sharing,"While I was talking about my day, you scrolled on your phone.",Hurt|Irritated|Lonely|Sad,Connection|To be heard|To be seen|Consideration
quality-time,Quality time / Attention,calls-during-date,Took calls during our time together,"During dinner, two calls were answered at the table.",Irritated|Lonely|Tense|Sad,Closeness|Connection|Peace|Participation
quality-time,Quality time / Attention,canceled-quality-time,Canceled plans for solo screen time,Our movie plan was canceled 15 minutes before start to keep gaming.,Disappointment|Hurt|Frustrated|Tense,Commitment|Reliability|Closeness|Consideration
chores-mental-load,Household tasks / Mental load,chore-missed-deadline,Shared chore not done by agreed time,Trash day passed and the bins were still at the side of the house at 8:00 am.,Irritated|Tired|Tense,Reliability|Support|Order|Accountability
chores-mental-load,Household tasks / Mental load,needed-multiple-reminders,Task done after multiple reminders,The grocery pickup happened after three reminders in the chat.,Tired|Frustrated|Irritated|Anxious,Dependability|Consistency|Support|Clarity
chores-mental-load,Household tasks / Mental load,last-minute-planning,Asked me to plan last minute after agreeing earlier,At 5 pm you asked me to pick and book a restaurant for 6 pm after saying you'd handle plans.,Overwhelmed|Irritated|Tense,Mutuality|Consideration|Predictability|Clarity
money-shared,Money / Shared expenses,added-unagreed-expense,Added item to split I didn’t order,The split bill included a drink I didn’t have.,Irritated|Anxious|Tense,Fairness|Clarity|Honesty|Respect
money-shared,Money / Shared expenses,late-payback,Payback later than agreed,Payment for the tickets arrived two days after the date we agreed.,Anxious|Irritated|Disappointment,Reliability|Trust|Accountability|Clarity
money-shared,Money / Shared expenses,used-shared-fund,Used shared funds without checking,The joint account was used for a purchase without a message beforehand.,Anxious|Irritated|Tense,Honesty|Clarity|Mutuality|Trust
honesty-info,Honesty / Information,plan-changed-without-telling,Plan changed without telling me,"You said you'd be home after the gym, and later texted from a bar without a heads-up.",Anxious|Hurt|Irritated,Honesty|Clarity|Trust|Predictability
honesty-info,Honesty / Information,omitted-detail,Important detail not shared,You accepted a weekend shift and told me on Friday night.,Disappointment|Tense|Anxious|Frustrated,Clarity|Consideration|Predictability|Commitment
honesty-info,Honesty / Information,story-changed,Statement changed later,"Yesterday you said, “I didn’t message them,” and today you said, “I sent one reply.”",Confused|Anxious|Hurt,Honesty|Integrity|Trust|Clarity
privacy-boundaries,Privacy / Boundaries,looked-through-phone,Looked through my phone without asking,My messages were opened on my phone while it was on the table.,Anxious|Hurt|Embarrassed|Angry,Privacy|Respect|Autonomy|Trust
privacy-boundaries,Privacy / Boundaries,shared-private-chat,Shared our private chat with someone else,A screenshot of our conversation was sent to a group chat.,Anxious|Hurt|Embarrassed|Irritated,Privacy|Honesty|Respect|Non-judgmental Communication
social-inclusion,Plans / Inclusion with friends,plan-made-without-me,Group plan made without including me,The group dinner was arranged in the chat and I wasn’t added to the invite.,Sad|Lonely|Hurt|Disappointment,Inclusion|Belonging|Connection|Participation
social-inclusion,Plans / Inclusion with friends,left-event-without-telling,Left event without telling me,"At the party, you left and I learned from someone else after 20 minutes.",Confused|Anxious|Hurt|Tense,Clarity|Respect|Connection|Trust
social-inclusion,Plans / Inclusion with friends,changed-seating,Switched seats away from me without a word,At the show you moved to a different row without saying anything.,Hurt|Confused|Sad|Anxious,Closeness|Connection|To be seen|Consideration
affection-closeness,Affection / Closeness (PG),pulled-away-hug,Pulled away from a hug without words,"When I hugged you hello, you pulled away without saying anything.",Hurt|Confused|Sad|Tense,Closeness|Understanding|Connection|To be seen
affection-closeness,Affection / Closeness (PG),no-goodnight,No goodnight check-in,On three nights this week there was no goodnight message or call.,Lonely|Hurt|Anxious|Sad,Connection|Consistency|Appreciation|Commitment
affection-closeness,Affection / Closeness (PG),turned-away,Turned away during cuddle time,"During the show, you turned away and sat at the edge of the couch.",Hurt|Confused|Sad|Tense,Closeness|Connection|Understanding|To be seen
conflict-style,Conflict style / Repair,walked-away-mid-sentence,Walked away while I was mid-sentence,You turned and walked to the kitchen while I was talking.,Hurt|Angry|Tense|Sad,To be heard|Respect|Peace|Mutuality
conflict-style,Conflict style / Repair,silent-period,No responses after argument,After our disagreement there were no replies for 24 hours.,Anxious|Lonely|Hurt|Confused,Clarity|Connection|Non-judgmental Communication|Trust
criticism-sarcasm,Criticism / Sarcasm,always-never-quote,Used 'always/never' about me,"You said, “You never listen.”",Hurt|Disappointment|Tense|Sad,Non-judgmental Communication|To be heard|Understanding|Respect
criticism-sarcasm,Criticism / Sarcasm,public-correction,Corrected me publicly about a small detail,You corrected my story date in front of our friends.,Embarrassed|Hurt|Tense|Sad,Respect|To be seen|Acknowledgement|Peer Respect
commitment-rituals,Commitments / Rituals,forgot-occasion,No message on important date,There was no message about our anniversary on the day.,Hurt|Sad|Disappointment|Confused,Commitment|Appreciation|Acknowledgement|Mattering
commitment-rituals,Commitments / Rituals,canceled-date-repeated,Repeatedly canceled date night,"Two Fridays in a row, date night was canceled within an hour of start.",Frustrated|Hurt|Tense|Sad,Reliability|Consistency|Closeness|Commitment
commitment-rituals,Commitments / Rituals,future-plan-avoid,Avoided confirming a planned trip,The deposit due date passed without a yes/no message about the trip.,Anxious|Confused|Disappointment|Tense,Clarity|Commitment|Predictability|Trust
external-boundaries,Interactions with others,messaging-ex-after-agreement,Messaged an ex after we agreed to pause contact,"After we agreed to pause, a message was sent to the ex on Saturday.",Hurt|Anxious|Angry|Tense,Trust|Honesty|Security|Respect
external-boundaries,Interactions with others,flirty-comments-online,Left hearts on someone’s photos during our conflict,"On the same evening we argued, heart reactions appeared on another person’s photos.",Hurt|Sad|Anxious|Tense,Commitment|Security|Trust|Closeness
external-boundaries,Interactions with others,private-story-shared,Shared my personal story with friends,A detail I shared in private was repeated at brunch.,Embarrassed|Hurt|Anxious|Tense,Privacy|Respect|Honesty|Trust
space-alonetime,Alone time / Space,booked-every-night,Made plans every night after I asked for one evening alone,"After I said I wanted Wednesday to myself, plans were made for Monday–Thursday.",Overwhelmed|Tense|Irritated|Anxious,Space|Autonomy|Do things at my own pace and in my own way|Freedom
space-alonetime,Alone time / Space,called-repeatedly,Called repeatedly during my quiet window,Three calls came within an hour after I said I was taking quiet time.,Overwhelmed|Irritated|Tense|Anxious,Rest|Peace|Respect|Consideration
space-alonetime,Alone time / Space,moved-my-things,Moved my belongings from my space,My desk items were rearranged while I was out.,Irritated|Tense|Anxious,Space|Order|Autonomy|Respect
substance-agreements,Substances / Agreements,agreed-dd-had-drinks,Agreed to drive but had drinks,"After agreeing to drive us home, two drinks were ordered at the bar.",Scared|Tense|Anxious,Safety|Accountability|Trust|Reliability
substance-agreements,Substances / Agreements,showed-up-under-influence,Arrived under the influence to our plan,You arrived smelling of alcohol to our meeting with my parents.,Anxious|Embarrassed|Tense,Respect|Integrity|Commitment|Security
substance-agreements,Substances / Agreements,cancelled-due-to-hangover,Cancelled our plan due to a hangover,Brunch was canceled the morning after because of a hangover.,Disappointment|Frustrated|Tense|Sad,Reliability|Commitment|Consideration|Predictability
texting-availability,Texting / Availability,read-no-reply,"Read receipt, no reply by next day",A read receipt showed last night and there was no reply by the next day.,Confused|Anxious|Hurt|Lonely,Clarity|Connection|To be seen|Reliability
texting-availability,Texting / Availability,short-replies-only,One-word replies for days,For three days replies were one word while we discussed plans.,Confused|Hurt|Frustrated|Sad,Non-judgmental Communication|Clarity|Connection|To be heard
texting-availability,Texting / Availability,late-night-texts,Late-night texts during sleep hours,Messages arrived after midnight on weekdays.,Tired|Irritated|Alarmed|Tense,Rest|Peace|Consideration|Order
household-mess,Household mess / Cleanliness,dishes-left-overnight,Dishes left in sink past agreed time,Dirty dishes remained in the sink the morning after the agreed cleanup time.,Irritated|Tired|Tense,Order|Reliability|Consideration|Peace
household-mess,Household mess / Cleanliness,trash-not-taken,Trash not taken out on pickup day,The bins were still full at 8:00 am on pickup day.,Frustrated|Irritated|Anxious|Tense,Accountability|Reliability|Support|Consistency
household-mess,Household mess / Cleanliness,shared-space-clutter,Items left in shared space,Shoes and bags were left in the hallway after we finished reminding last night.,Irritated|Overwhelmed|Tense|Confused,Order|Consideration|Space|Peace
phone-presence,Phone use during time together,phones-at-dinner,Phone used during meals,"During dinner, the phone screen was on for most of the meal.",Lonely|Hurt|Irritated|Sad,Connection|To be seen|To be heard|Belonging
phone-presence,Phone use during time together,scrolling-while-speaking,Scrolling while I was talking,"While I was sharing about my day, the other person scrolled on their phone.",Hurt|Irritated|Tense|Confused,To be heard|Consideration|Recognition|Closeness
phone-presence,Phone use during time together,calls-during-movie,Taking calls during shared activity,"During the movie, two calls were taken in the same room.",Irritated|Lonely|Tense|Sad,Peace|Consideration|Connection|Participation
lateness-chronic,Chronic lateness,late-10min,Arrived ~10 minutes after start,The 10:00 am meeting began at 10:10 am.,Irritated|Anxious|Tense|Frustrated,Predictability|Reliability|Consideration|Respect
lateness-chronic,Chronic lateness,late-30min,Arrived ~30 minutes after start,The scheduled lunch at 12:00 pm started at 12:30 pm.,Irritated|Anxious|Tense|Disappointment,Respect|Predictability|Reliability|Clarity
lateness-chronic,Chronic lateness,no-heads-up,Late without message,No message was sent before arriving late to the appointment.,Anxious|Irritated|Tense,Clarity|Accountability|Respect|Dependability
lack-appreciation,Feeling unappreciated,no-ack-effort,Effort not acknowledged,"After I finished the project, there was no mention of my work in the meeting.",Hurt|Sad|Frustrated|Tense,Acknowledgement|Appreciation|Recognition|Mattering
lack-appreciation,Feeling unappreciated,credit-missing,Contribution shared without naming me,My example appeared in the presentation without my name.,Hurt|Irritated|Tense|Disappointment,Recognition|Fairness|Integrity|Peer Respect
lack-appreciation,Feeling unappreciated,no-thanks-routine,Routine support not thanked,"After three days of school drop-offs, there was no ‘thank you’.",Hurt|Lonely|Irritated|Tired,Appreciation|To be seen|Mutuality|Support
follow-through,Not following through,promise-missed,"Said would do X by date, didn’t",They agreed to send the file by Tuesday; no file arrived by end of day.,Anxious|Frustrated|Disappointment,Reliability|Trust|Accountability|Clarity
follow-through,Not following through,reminder-needed,Task done only after multiple reminders,The form was submitted after three reminders.,Tired|Irritated|Tense,Dependability|Consistency|Support|Order
