regionId,regionLabel,prompt,optionId,optionTitle,optionNote,optionInsight,emotions
throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-gag,Gag or urge to retch,"Gag reflex, throat closing, increased saliva",Gagging or throat closing is a classic disgust response.,disgust:1.1
jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue","Clenched muscles can reflect anger, frustration, or determined resolve.",anger:1.3|frustration:1.2|determined:1|stress:0.9|anxiety:1
jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw","Heat in the jaw can mark anger, shame, or a boundary flare.",anger:1.1|shame:1|frustration:0.8|guilt:0.7
jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering","Trembling around the mouth can accompany fear, overwhelm, or sadness releasing.",fear:1.1|anxiety:1|sadness:0.9|overwhelm:1
head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-pressure,Pressure or band,"Helmet feeling, squeezing temples","Head pressure can signal mental load, stress, or overwhelm asking for relief.",overwhelm:1.3|stress:1.1|anxiety:1
head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-buzzing,Buzzing or static,"Quick thoughts, humming energy",Buzzing in the head can come with anxious energy or excited anticipation.,anxiety:1.1|excited:0.9|overwhelm:0.8
head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-fog,Foggy or heavy,"Hard to focus, thick clouded feeling","Fog can appear with exhaustion, low mood, or protective numbness.",tired:1.1|numb:1|sadness:0.8|overwhelm:0.9
shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-weighted,Weighted or burdened,"Heavy load, sagging posture, tight knots","Weighted shoulders can align with stress, guilt, or sadness about responsibility.",stress:1.2|guilt:1.1|sadness:1|overwhelm:1
shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like","Braced shoulders can show your body gearing up—anxiety, determination, or anger.",anxiety:1.1|determined:1|anger:0.8|fear:0.9
shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-droop,Drooping or collapsed,"Slumped, no lift, giving way","Drooping shoulders can reflect fatigue, discouragement, or grief.",tired:1.1|sadness:1|grief:0.9|numb:0.9
limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-heavy,Heavy or lead-like,"Hard to move, sluggish, weighted","Heavy limbs can show tiredness, sadness, or numb shutdown.",tired:1.3|sadness:1|numb:1.1|overwhelm:0.8
limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake","Restless limbs can signal pent-up energy linked to anxiety, anticipation, or frustration.",anxiety:1.2|excited:1.1|frustration:0.9|anger:0.8
limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",Tingles can mean excited anticipation or anxious vigilance.,excited:1.2|fear:0.9|joyful:0.8
temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward","Heat waves can pair with anger, excitement, or shame.",anger:1.2|excited:1|shame:1|pride:0.6
temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers","Chills may signal fear, anxiety, or grief moving through.",fear:1.2|anxiety:1.1|sadness:0.8|overwhelm:0.9
temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat","Prickly sensations can show adrenaline—anxiety, anticipation, or overwhelm.",anxiety:1.1|excited:1|stress:0.8|fear:1
overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-numb,Muted or numb,"Blank, disconnected, hard to feel",Numbness can be protective when overwhelm maxes out.,numb:1.4|bored:1.1|overwhelm:0.9|tired:0.9
overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",Floating sensations can hint at overwhelm or anxiety pulling you away from the moment.,overwhelm:1.1|anxiety:1|numb:0.9|sadness:0.7
overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-calm,Grounded or calm,"Steady, anchored, peacefully present","Steady calm can mean needs feel met—contentment, gratitude, or relief.",calm:1.3|relief:1.1|contented:1.1|gratitude:1
