cue,patterns (|),feelings (|),needs (|),example
inefficacy-generalization-i-did-improve,"nothing i did .* improve|nothing i did .* ever .* improve|nothing .* improve ever|nothing i did.*, it (?:doesn'?t|won't) (?:improve)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* improve|never i did .* at all .* improve|never .* improve at all|never i did.*, it (?:doesn'?t|won't) (?:improve)|no matter what i did .* improve|no matter what i did.*, it (?:doesn'?t|won't) (?:improve)|whatever i did .* improve|whatever i did.*, it (?:doesn'?t|won't) (?:improve)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I did and it didn't improve, even after multiple attempts."
inefficacy-generalization-i-did-get better,"nothing i did .* get better|nothing i did .* ever .* get better|nothing .* get better ever|nothing i did.*, it (?:doesn'?t|won't) (?:get|better)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* get better|never i did .* at all .* get better|never .* get better at all|never i did.*, it (?:doesn'?t|won't) (?:get|better)|no matter what i did .* get better|no matter what i did.*, it (?:doesn'?t|won't) (?:get|better)|whatever i did .* get better|whatever i did.*, it (?:doesn'?t|won't) (?:get|better)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I did and it didn't get better, even after multiple attempts."
inefficacy-generalization-i-try-work,"nothing i try .* work|nothing i try .* ever .* work|nothing .* work ever|nothing i try.*, it (?:doesn'?t|won't) (?:work)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* work|never i try .* at all .* work|never .* work at all|never i try.*, it (?:doesn'?t|won't) (?:work)|no matter what i try .* work|no matter what i try.*, it (?:doesn'?t|won't) (?:work)|whatever i try .* work|whatever i try.*, it (?:doesn'?t|won't) (?:work)",helpless|powerless|thwarted|frustrated,accomplishment|competence|contribution|growth,"I try and it didn't work, even after multiple attempts."
inefficacy-generalization-i-try-help,"nothing i try .* help|nothing i try .* ever .* help|nothing .* help ever|nothing i try.*, it (?:doesn'?t|won't) (?:help)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* help|never i try .* at all .* help|never .* help at all|never i try.*, it (?:doesn'?t|won't) (?:help)|no matter what i try .* help|no matter what i try.*, it (?:doesn'?t|won't) (?:help)|whatever i try .* help|whatever i try.*, it (?:doesn'?t|won't) (?:help)",helpless|powerless|thwarted|frustrated,support|clarity|learning|to-be-heard,"I try and it didn't help, even after multiple attempts."
inefficacy-generalization-i-try-change,"nothing i try .* change|nothing i try .* ever .* change|nothing .* change ever|nothing i try.*, it (?:doesn'?t|won't) (?:change)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* change|never i try .* at all .* change|never .* change at all|never i try.*, it (?:doesn'?t|won't) (?:change)|no matter what i try .* change|no matter what i try.*, it (?:doesn'?t|won't) (?:change)|whatever i try .* change|whatever i try.*, it (?:doesn'?t|won't) (?:change)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I try and it didn't change, even after multiple attempts."
inefficacy-generalization-i-try-matter,"nothing i try .* matter|nothing i try .* ever .* matter|nothing .* matter ever|nothing i try.*, it (?:doesn'?t|won't) (?:matter)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* matter|never i try .* at all .* matter|never .* matter at all|never i try.*, it (?:doesn'?t|won't) (?:matter)|no matter what i try .* matter|no matter what i try.*, it (?:doesn'?t|won't) (?:matter)|whatever i try .* matter|whatever i try.*, it (?:doesn'?t|won't) (?:matter)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I try and it didn't matter, even after multiple attempts."
inefficacy-generalization-i-try-improve,"nothing i try .* improve|nothing i try .* ever .* improve|nothing .* improve ever|nothing i try.*, it (?:doesn'?t|won't) (?:improve)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* improve|never i try .* at all .* improve|never .* improve at all|never i try.*, it (?:doesn'?t|won't) (?:improve)|no matter what i try .* improve|no matter what i try.*, it (?:doesn'?t|won't) (?:improve)|whatever i try .* improve|whatever i try.*, it (?:doesn'?t|won't) (?:improve)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I try and it didn't improve, even after multiple attempts."
inefficacy-generalization-i-try-get better,"nothing i try .* get better|nothing i try .* ever .* get better|nothing .* get better ever|nothing i try.*, it (?:doesn'?t|won't) (?:get|better)|whatever i try.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i try .* get better|never i try .* at all .* get better|never .* get better at all|never i try.*, it (?:doesn'?t|won't) (?:get|better)|no matter what i try .* get better|no matter what i try.*, it (?:doesn'?t|won't) (?:get|better)|whatever i try .* get better|whatever i try.*, it (?:doesn'?t|won't) (?:get|better)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I try and it didn't get better, even after multiple attempts."
inefficacy-generalization-i-tried-work,"nothing i tried .* work|nothing i tried .* ever .* work|nothing .* work ever|nothing i tried.*, it (?:doesn'?t|won't) (?:work)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* work|never i tried .* at all .* work|never .* work at all|never i tried.*, it (?:doesn'?t|won't) (?:work)|no matter what i tried .* work|no matter what i tried.*, it (?:doesn'?t|won't) (?:work)|whatever i tried .* work|whatever i tried.*, it (?:doesn'?t|won't) (?:work)",helpless|powerless|thwarted|frustrated,accomplishment|competence|contribution|growth,"I tried and it didn't work, even after multiple attempts."
inefficacy-generalization-i-tried-help,"nothing i tried .* help|nothing i tried .* ever .* help|nothing .* help ever|nothing i tried.*, it (?:doesn'?t|won't) (?:help)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* help|never i tried .* at all .* help|never .* help at all|never i tried.*, it (?:doesn'?t|won't) (?:help)|no matter what i tried .* help|no matter what i tried.*, it (?:doesn'?t|won't) (?:help)|whatever i tried .* help|whatever i tried.*, it (?:doesn'?t|won't) (?:help)",helpless|powerless|thwarted|frustrated,support|clarity|learning|to-be-heard,"I tried and it didn't help, even after multiple attempts."
inefficacy-generalization-i-tried-change,"nothing i tried .* change|nothing i tried .* ever .* change|nothing .* change ever|nothing i tried.*, it (?:doesn'?t|won't) (?:change)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* change|never i tried .* at all .* change|never .* change at all|never i tried.*, it (?:doesn'?t|won't) (?:change)|no matter what i tried .* change|no matter what i tried.*, it (?:doesn'?t|won't) (?:change)|whatever i tried .* change|whatever i tried.*, it (?:doesn'?t|won't) (?:change)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I tried and it didn't change, even after multiple attempts."
inefficacy-generalization-i-tried-matter,"nothing i tried .* matter|nothing i tried .* ever .* matter|nothing .* matter ever|nothing i tried.*, it (?:doesn'?t|won't) (?:matter)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* matter|never i tried .* at all .* matter|never .* matter at all|never i tried.*, it (?:doesn'?t|won't) (?:matter)|no matter what i tried .* matter|no matter what i tried.*, it (?:doesn'?t|won't) (?:matter)|whatever i tried .* matter|whatever i tried.*, it (?:doesn'?t|won't) (?:matter)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I tried and it didn't matter, even after multiple attempts."
inefficacy-generalization-i-tried-improve,"nothing i tried .* improve|nothing i tried .* ever .* improve|nothing .* improve ever|nothing i tried.*, it (?:doesn'?t|won't) (?:improve)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* improve|never i tried .* at all .* improve|never .* improve at all|never i tried.*, it (?:doesn'?t|won't) (?:improve)|no matter what i tried .* improve|no matter what i tried.*, it (?:doesn'?t|won't) (?:improve)|whatever i tried .* improve|whatever i tried.*, it (?:doesn'?t|won't) (?:improve)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I tried and it didn't improve, even after multiple attempts."
inefficacy-generalization-i-tried-get better,"nothing i tried .* get better|nothing i tried .* ever .* get better|nothing .* get better ever|nothing i tried.*, it (?:doesn'?t|won't) (?:get|better)|whatever i tried.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i tried .* get better|never i tried .* at all .* get better|never .* get better at all|never i tried.*, it (?:doesn'?t|won't) (?:get|better)|no matter what i tried .* get better|no matter what i tried.*, it (?:doesn'?t|won't) (?:get|better)|whatever i tried .* get better|whatever i tried.*, it (?:doesn'?t|won't) (?:get|better)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I tried and it didn't get better, even after multiple attempts."
inefficacy-generalization-i-say-work,"nothing i say .* work|nothing i say .* ever .* work|nothing .* work ever|nothing i say.*, it (?:doesn'?t|won't) (?:work)|whatever i say.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i say .* work|never i say .* at all .* work|never .* work at all|never i say.*, it (?:doesn'?t|won't) (?:work)|no matter what i say .* work|no matter what i say.*, it (?:doesn'?t|won't) (?:work)|whatever i say .* work|whatever i say.*, it (?:doesn'?t|won't) (?:work)",helpless|powerless|thwarted|frustrated,accomplishment|competence|contribution|growth,"I say and it didn't work, even after multiple attempts."
inefficacy-generalization-i-say-help,"nothing i say .* help|nothing i say .* ever .* help|nothing .* help ever|nothing i say.*, it (?:doesn'?t|won't) (?:help)|whatever i say.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i say .* help|never i say .* at all .* help|never .* help at all|never i say.*, it (?:doesn'?t|won't) (?:help)|no matter what i say .* help|no matter what i say.*, it (?:doesn'?t|won't) (?:help)|whatever i say .* help|whatever i say.*, it (?:doesn'?t|won't) (?:help)",helpless|powerless|thwarted|frustrated,support|clarity|learning|to-be-heard,"I say and it didn't help, even after multiple attempts."
inefficacy-generalization-i-say-change,"nothing i say .* change|nothing i say .* ever .* change|nothing .* change ever|nothing i say.*, it (?:doesn'?t|won't) (?:change)|whatever i say.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i say .* change|never i say .* at all .* change|never .* change at all|never i say.*, it (?:doesn'?t|won't) (?:change)|no matter what i say .* change|no matter what i say.*, it (?:doesn'?t|won't) (?:change)|whatever i say .* change|whatever i say.*, it (?:doesn'?t|won't) (?:change)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I say and it didn't change, even after multiple attempts."
inefficacy-generalization-i-say-matter,"nothing i say .* matter|nothing i say .* ever .* matter|nothing .* matter ever|nothing i say.*, it (?:doesn'?t|won't) (?:matter)|whatever i say.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i say .* matter|never i say .* at all .* matter|never .* matter at all|never i say.*, it (?:doesn'?t|won't) (?:matter)|no matter what i say .* matter|no matter what i say.*, it (?:doesn'?t|won't) (?:matter)|whatever i say .* matter|whatever i say.*, it (?:doesn'?t|won't) (?:matter)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I say and it didn't matter, even after multiple attempts."
inefficacy-generalization-i-say-improve,"nothing i say .* improve|nothing i say .* ever .* improve|nothing .* improve ever|nothing i say.*, it (?:doesn'?t|won't) (?:improve)|whatever i say.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i say .* improve|never i say .* at all .* improve|never .* improve at all|never i say.*, it (?:doesn'?t|won't) (?:improve)|no matter what i say .* improve|no matter what i say.*, it (?:doesn'?t|won't) (?:improve)|whatever i say .* improve|whatever i say.*, it (?:doesn'?t|won't) (?:improve)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I say and it didn't improve, even after multiple attempts."
