Need Title,Category Label,Page Summary,Related Strategies,Related Faux Feelings,Slug Override,Related Feelings,Claim Summary,Claim Narrative,Source Links
Contribution,Meaning/Contribution,,"Listen,Share your strategies!,Play a video game,Request a clear request,Charity work,Kind comment online,Name one help to ask","(Not) Accepted,Isolated",contribution,"Upset,Scared,Lonely,Afraid","Contributing to something beyond oneself can enhance purpose and cohesion. This need may motivate service, knowledge-sharing, and creative work that benefits others. Channeling contribution converts personal energy into collective gains.","People have a fundamental desire to contribute to causes or communities larger than themselves – doing so often gives a deep sense of purpose and strengthens social bonds. This need for contribution fuels activities like volunteering, sharing one’s knowledge or skills freely, or creating something for the common good. Studies find that engaging in prosocial service (e.g., helping others or one’s community) can improve one’s own wellbeing and instill a stronger sense of meaning in life. Essentially, by channeling our time and energy into contributions that benefit others or society, we transform individual effort into collective good. This not only aids the group (collective gains) but also feeds back to the individual as feelings of fulfillment, belonging, and coherence with one’s values.","- https://www.apa.org/news/press/releases/2020/09/doing-good-boosts-health (APA press release on how prosocial behavior and contributing to others increases sense of purpose and even health)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5504667/ (longitudinal study showing that regular volunteering increases life satisfaction and sense of purpose)"
Peer Respect,Empathy/Understanding,,Call a friend,(Not) Accepted,peer-respect,"Upset,Scared,Lonely","Standing with equals on fair terms can support morale and cooperation. This need may motivate demonstrating competence, acknowledging others, and addressing status threats constructively. Peer respect keeps teamwork functional and dignified.","People want to be respected by their peers – treated as equal colleagues whose contributions and dignity are valued. When team members view each other with respect, it boosts everyone’s morale and willingness to cooperate. The need for peer respect may drive individuals to prove their competence (so others will esteem them), to give credit and respect to fellow members in turn, and to handle any tensions about status or recognition in a fair, open way (rather than via put-downs or envy). Studies suggest that teams in which members feel respected and not talked down to tend to function better: they communicate more freely and have higher collective morale, which translates into better outcomes. Ensuring peer respect essentially means each person feels “I am valued here just as others are” – this feeling keeps collaboration working smoothly and maintains each person’s sense of dignity within the group.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5373634/ (study on workplace teams: mutual professional respect among peers correlates with higher morale and team performance)
- https://psycnet.apa.org/record/2009-02221-005 (research on status management in groups: when members feel respected as equals, cooperation increases and conflicts are fewer)"
Respect,Empathy/Understanding,,"Call a friend,View art that you connect to,Name a limit kindly,Mirror kindness,Choose a gentler word,Micro boundary","Belittled,Discounted/Diminished,Dumped on,Harassed,Insulted,Interrupted,Invalidated,Overworked,Patronized,Provoked,Put down,Trampled,Unappreciated,Violated,Wronged,Pressured",respect,"Angry,Frustrated,Tense,Distressed,Hurt,Embarrassed,Overwhelmed,Frightened,Resentful,Tired,Hostile,Antagonistic,Sad,Agitated,Anxiety,Irritated,Anxious","Mutual regard can reduce conflict costs and support equitable collaboration. This need may motivate clear boundaries, considerate language, and acknowledgment of value. Respect maintains dignity and workable relationships.","Everyone has a need to be respected – to be treated with basic dignity and consideration. When respect is mutual in a group, conflicts tend to be less frequent and less damaging, and people can work together more fairly and effectively. The need for respect manifests in actions like setting and honoring personal boundaries (not intruding or violating someone’s limits), using polite and considerate language (even when disagreeing), and routinely acknowledging each person’s worth or contributions. By helping to maintain an atmosphere of respect, groups avoid many of the hidden “costs” of conflict such as grudges, sabotage, or disengagement. Psychological research suggests that individuals who feel respected by their peers or leaders are more likely to cooperate and stay committed, whereas feeling disrespected often leads to disengagement or aggression. In summary, respect is the oil that keeps the social machine running smoothly: it preserves each person’s dignity and thus enables relationships and collaborations to remain functional and positive even under strain.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00526/full (field study of civility training indicating respectful treatment reduces conflict and improves collaboration)
- https://journals.sagepub.com/doi/abs/10.1177/0146167202239043 (research: feeling respected in a group is associated with fewer interpersonal conflicts and greater commitment to group goals)"
Autonomy,Autonomy/Freedom,,"Go on walk,Make a request in conversation,Make art,Write,Play a video game,Road trip,Sing,Translate a “should”,Micro-request to self,Needs → strategies map,Name a limit kindly,Ask for channel shift,Turn on Do Not Disturb,Phone face-down,One thing off today,Name what’s within control,Future-walk sketch,Micro boundary,Name a want & a don’t","Belittled,Bullied,Caged/Boxed-in,Coerced,Cornered,Hassled,Manipulated,Overpowered,Smothered/Suffocated,Threatened,Used,Pressured",autonomy,"Angry,Frustrated,Tense,Distressed,Scared,Thwarted,Anxious,Frightened,Irritated,Powerless,Impotent,Helpless,Confused,Fear,Desperation,Alarmed,Agitated,Defiant,Sad,Resentful,Overwhelmed","Robust evidence (e.g., self-determination theory) suggests autonomy may be a universal psychological nutrient for motivation and well-being. This need may motivate expressing preferences, making self-directed decisions, and setting boundaries. When autonomy is supported, persistence and quality of engagement typically increase.","According to extensive research (for example, self-determination theory), autonomy – the sense of volition and choice in one’s actions – is a fundamental psychological need across cultures. People are strongly motivated to voice their preferences, make their own decisions, and establish personal boundaries. Studies suggest that when individuals have autonomy support (e.g. freedom to make choices or control their work), they generally display greater persistence, better performance, and higher well-being (see Deci & Ryan 2000, American Psychologist, for evidence that autonomy enhances motivation and engagement). In short, autonomy acts like a psychological “nutrient”: supporting a person’s need for self-direction tends to boost their motivation and the quality of their participation in activities.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3602424/ (Self-Determination Theory review, highlighting autonomy as a basic need for well-being)
- https://pubmed.ncbi.nlm.nih.gov/11392867/ (Deci & Ryan, 2000 – seminal paper on autonomy’s role in motivation)"
To be seen,Empathy/Understanding,,"Write,View previous things you've written or made,Make art,Listen to music,Play a video game,Sing,Read a poem you like aloud","Belittled,Invisible,Rejected,Trampled",to-be-seen,"Angry,Frustrated,Tense,Distressed,Sad,Lonely,Scared,Hurt,Defiant,Overwhelmed",Social visibility can confirm presence and role within a group. This need may motivate showing up authentically and inviting acknowledgement. Being seen anchors identity and belonging.,"Beyond just hearing our words, there’s a human need to be seen by others – meaning others acknowledge our presence, recognize who we are, and validate our role in the group. Social visibility – when your peers or community notice you and treat you as a distinct person – helps solidify your sense of identity (“I am here and I matter in this group”). This need may lead people to present themselves genuinely (so that what others see is one’s real self) and to seek forms of acknowledgment (a greeting, a nod to one’s contributions, etc.). Being seen is closely tied to feeling one belongs: studies indicate that when individuals feel “invisible” or overlooked in a group, it undermines their well-being and commitment, whereas being recognized and visible boosts their sense of belonging and self-esteem. In practice, small acts like using someone’s name, noticing their efforts, or giving them the spotlight can fulfill this need. When people are seen in these ways, it reinforces their membership in the community and “anchors” their identity as part of that social world.","- https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.806443/full (research showing that high-quality leader feedback increases teleworkers’ sense of belongingness)
- https://pubmed.ncbi.nlm.nih.gov/19785483/ (study on concealable stigmas: anticipated stigma around hidden identities predicted greater psychological distress)"
Acknowledgement,Empathy/Understanding,,"Play a video game,Read a poem you like aloud","Belittled,Criticized,Discounted/Diminished,Disliked,Insulted,Invalidated,Put down,Rejected,Ripped off / Screwed,Taken for granted,Trampled,Unappreciated,Unseen,Humiliated",acknowledgement,"Angry,Frustrated,Tense,Distressed,In pain,Scared,Anxious,Embarrassed,Hurt,Sad,Lonely,Resentful,Defiant,Disappointment,Overwhelmed",Recognizing contribution can reinforce cooperative behavior in human groups. This need may motivate requesting or offering specific feedback and making results visible. Reliable acknowledgement sustains morale and signals that effort matters.,"Humans thrive on having their contributions noticed – acknowledging someone’s good work encourages them (and others) to keep cooperating. The need for acknowledgement may drive people to seek and give meaningful feedback and to publicize achievements or may result. Organizational studies find that when employees feel recognized for their efforts, their morale and engagement rise, which in turn reinforces cooperative behavior (see HBR, 2016: recognition boosts morale and performance). In practice, consistently acknowledging contributions shows individuals that their effort matters, thereby maintaining motivation and strengthening the group’s collaborative spirit.","- https://pure.eur.nl/files/73371826/Repub_122313.pdf (HBR article on the impact of recognition on morale and cooperation)
- https://onlinelibrary.wiley.com/doi/full/10.1002/job.2624 (research showing that acknowledgment and feedback increase teamwork and retention)"
Appreciation,Beauty/Peace/Play,,"View previous things you've written or made,View art that you connect to,Specific thank-you,Five gratitudes by need,Ambient Postcard,Scent Caption,Window Quarter","Belittled,Disliked,Invalidated,Taken for granted,Unappreciated,Unloved,Unseen",appreciation,"Angry,Frustrated,Tense,Distressed,Sad,Lonely,Hurt,Resentful,Disappointment,Bewildered,Anxious","Gratitude can strengthen social bonds and increase prosocial behavior across cultures. This need may motivate noticing value, naming what worked, and reciprocating care. Practiced appreciation maintains trust and energizes ongoing collaboration.","Expressing and receiving gratitude is a powerful social glue – research shows that feeling appreciated or thanking others strengthens relationships and encourages people to act kindly in return (these effects are observed in many cultures). The need for appreciation may lead us to notice what is valuable in others’ actions, explicitly acknowledge what went well, and respond to kindness with kindness. By regularly practicing gratitude and appreciation, groups build greater mutual trust and goodwill. In other words, showing appreciation not only affirms the recipient but also energizes ongoing cooperation, as people who feel valued are more likely to continue contributing positively.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC7265817/ (Cross-cultural: gratitude relates to prosocial behavior and relationship benefits)
- https://pubmed.ncbi.nlm.nih.gov/28406659/ (Meta-analysis: gratitude → prosocial behavior)
- https://compass.onlinelibrary.wiley.com/doi/10.1111/j.1751-9004.2012.00439.x (Theory: gratitude strengthens relationships (Find–Remind–Bind))
- https://pubmed.ncbi.nlm.nih.gov/16623689/ (Experiment: gratitude increases costly helping)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC8600914/ (cross-cultural research showing gratitude practices strengthen trust and social connection)"
Trust,Safety/Security,,"Mindfulness (Trust),Schedule your day","Betrayed,Cheated,Distrusted,Let down,Manipulated,Mistrusted,Ripped off / Screwed,Tricked,Violated,Wronged",trust,"Angry,Hurt,Disappointment,Enraged,Resentful,Sad,Frustrated,Frightened,Scared,Powerless,Thwarted,Embarrassed,Agitated,Anxiety,Irritated","Confidence in others’ intentions and competence can reduce transaction costs and stress. This need may motivate transparency, reliability, and incremental risk-taking. Trust enlarges what groups can do together.","Trust is the belief that others have good intentions and are capable in their role – and it’s essential for smooth cooperation. When trust is present in a relationship or team, people don’t need to waste energy constantly watching their backs or double-checking everything, which lowers stress and “transaction costs” (the extra effort of dealing with doubt or verification). The need for trust may drive behaviors like being open and transparent (so others know they’re not being deceived), being dependable (so others learn they can count on you), and gradually extending trust to others by taking small risks – for example, delegating a task and seeing it through. Research suggests that in high-trust environments, groups can undertake more ambitious projects and adapt faster, because members willingly share information and responsibilities without fear. In essence, trust expands the scope of what people can achieve together: it’s like social glue that enables complex teamwork, innovation, and supportive relationships that would collapse if everyone was suspicious. Thus, nurturing trust by consistent honest behavior and mutual respect allows teams and communities to reach higher levels of collaboration with less friction.","- https://pubsonline.informs.org/doi/10.1287/orsc.14.1.57.12806 (study: high trust in business or team relationships significantly lowers the costs of monitoring and coordination, improving performance)
- https://www.apa.org/pubs/journals/releases/bul-bul0000298.pdf (Frontiers in Psychology: trusting relationships buffer stress responses and support collaborative risk-taking)
- https://www.apa.org/news/press/releases/2025/06/trust-subjective-well-being (APA press release summarizing new evidence that mutual trust boosts subjective well-being)
- https://www.apa.org/pubs/journals/releases/bul-bul0000480.pdf (Psychological Bulletin meta-analysis of 991 effects showing bidirectional links between trust and subjective well-being)"
Dependability,Community/Belonging,,"Schedule your day,Mindfulness (Trust)","Betrayed,Let down",dependability,"Angry,Hurt,Disappointment,Enraged,Sad,Frightened","Reliability can reduce monitoring costs and enable complex cooperation. This need may motivate keeping agreements, building robust processes, and choosing trustworthy partners. Dependability is the infrastructure of interpersonal and institutional trust.","When individuals or systems are dependable – meaning they do what they promised, consistently – everyone saves time and energy that would otherwise go into double-checking or worrying. High reliability among members is what makes elaborate teamwork possible, because each person can focus on their role without constantly monitoring others. This need for dependability may drive behaviors like honoring commitments, setting up sturdy procedures to prevent failures, and gravitating towards colleagues or partners known to be trustworthy. In fact, experiments show that we naturally trust and cooperate more with people who have proven to be consistently honest and reliable in their behavior. In essence, dependability lays the groundwork for trust – it’s the invisible infrastructure that lets both interpersonal relationships and organizations function smoothly.","- https://www.sciencedirect.com/science/article/pii/S0925753523001200 (study on how reliability of team members lowers the need for oversight and improves collective performance)
- https://pubmed.ncbi.nlm.nih.gov/31916837/ (research finding that people strongly prefer and trust those who are consistently honest/reliable)"
Honesty,Authenticity,,"Listen to music,Write,View previous things you've written or made,Write three sentences,Observation only,Self-check scale,Name a want & a don’t","Betrayed,Cheated,Distrusted,Tricked",honesty,"Angry,Hurt,Disappointment,Enraged,Resentful,Sad,Frustrated,Embarrassed","Transparent information can enable accurate coordination and reduce relational risk. This need may motivate factual clarity, timely disclosure, and correction of errors. Honesty is a stable basis for trust.","Being honest – sharing truthful, clear information – is crucial for groups to coordinate their actions correctly and for individuals to feel secure with each other. When we have the full, accurate picture, we can make better decisions and avoid the hidden pitfalls that come with deception. The need for honesty may push us to communicate facts plainly, to be forthcoming about important matters in a timely way, and to admit and fix mistakes rather than cover them up. Consistent honesty provides a foundation for trust: studies have shown that we are biased to trust people with a reputation for honesty, and in relationships, open truthful dialogue (even when discussing problems) leads to stronger, healthier outcomes. In essence, honesty creates predictability and safety in interactions – others know they can take one’s words at face value – making it a bedrock for any trusting relationship or cooperative effort.","- https://pubmed.ncbi.nlm.nih.gov/31916837/ (study: people strongly prefer to trust those who show consistent honesty; honest behavior biases others to view one as trustworthy)
- https://doi.org/10.1037/pspi0000381 (University of Rochester study: greater honesty in expressing needs or issues led to better relationship outcomes)"
