Row Type,Feeling Title,Page Summary,Slug Override,Related Faux Feelings,Related Needs,Need Satisfaction,Body Signal Notes,Poem Quotation,Poem URL,Cue Region ID,Cue Region Label,Cue Region Prompt,Cue Option ID,Cue Option Title,Cue Option Note,Cue Option Insight,Cue Feeling Key,Cue Weight
feeling,Tense,"You may feel your neck or back tighten, jaw clench, and breath stay shallow. Tension shows the body’s effort to hold itself ready under stress. Physiology suggests it’s a short-term survival mechanism that becomes uncomfortable when prolonged.",tense,Belittled,"Respect,Autonomy,To be seen,Acknowledgement,Appreciation,Security,Growth",unmet,Shoulders inching up toward the ears; Clenched jaw or teeth grinding quietly; Shallow breathing that barely moves the ribs,,,,,,,,,,,
feeling,Distressed,"Your breathing may quicken, your face tighten, or your chest feel heavy. This feeling can arise when multiple needs compete or when uncertainty feels unmanageable. The human stress response may have evolved to mobilize resources for coping or seeking support.",distressed,"Belittled,Hassled","Respect,Autonomy,To be seen,Acknowledgement,Appreciation,Space,Serenity,Do things at my own pace and in my own way,Calm,Physical Fitness,Security",unmet,Tight band-like feeling around the chest; Hands wringing or gripping for relief; Tearful eyes and uneven breathing,,,,,,,,,,,
feeling,Disappointment,"Your shoulders might drop, your face soften, and energy leave your body. This feeling visits when hopes or expectations go unmet. Scientists suggest it may have evolved to help people pause and reassess goals after unmet outcomes.",disappointment,"Betrayed,Let down,Ripped off / Screwed,Taken for granted","Consideration,Acknowledgement,Appreciation,Trust,Dependability,Honesty,Honor,Commitment,Clarity,Fairness,Justice,Recognition,Consistency,Accomplishment",unmet,"Chest sinking and posture slumping; Soft, deflated sighs leaving the body; Gaze dropping toward the floor or away",,,,,,,,,,,
feeling,Enraged,"You might feel heat surge, muscles clench, and vision narrow. This intense state often follows perceived injustice or harm. From an evolutionary view, rage focuses all energy on removing immediate threats or restoring violated boundaries.",enraged,Betrayed,"Trust,Dependability,Honesty,Honor,Commitment,Clarity",unmet,Hot surge pulsing through the entire body; Face flushed with jaw locked tight; Voice wanting to roar or push forcefully outward,,,,,,,,,,,
feeling,Confused,"Your thoughts may feel cloudy or circular, and your body may grow still as your mind tries to orient. Confusion can appear when information conflicts or when expectations aren’t met. It may have evolved to prompt re-evaluation, allowing flexible problem-solving.",confused,"Blamed,Overpowered","Autonomy,Accountability,Causality,Fairness,Justice,Freedom,Equality",unmet,Forehead wrinkling with squinting eyes; Head tilting or shaking slightly; Stomach fluttering as thoughts loop,,,,,,,,,,,
feeling,Antagonistic,You might feel your chest puff or muscles stiffen as your body prepares to assert itself. This feeling may arise when you sense opposition or threat to your viewpoint or values. Researchers often link such states to dominance and defense systems meant to establish boundaries within social groups.,antagonistic,"Blamed,Provoked","Consideration,Respect,Accountability,Causality,Fairness,Justice",unmet,Chest puffing or leaning forward aggressively; Jaw jutting with lips pressed thin; Hands ready to point or push away,,,,,,,,,,,
feeling,Hostile,"You might sense tension in your jaw or shoulders, with thoughts focused on opposition. This feeling surfaces when you perceive someone as adversarial or unsafe. It may have evolved to protect social standing and resources within groups.",hostile,"Blamed,Provoked,Unheard","Consideration,Respect,Accountability,Causality,Fairness,Justice,Understanding,Empathy",unmet,"Muscles coiled like a spring across shoulders; Eyes narrowing into a hard stare; Voice sharpening, ready to strike",,,,,,,,,,,
feeling,Thwarted,"Your body may lurch forward while something blocks progress, leaving lingering agitation. This feeling may come when effort meets resistance. It may have evolved to motivate persistence or creative problem-solving until the goal is met.",thwarted,"Caged/Boxed-in,Coerced,Cornered,Manipulated","Connection,Autonomy,Trust,Choice,Freedom,Act Freely,Choose Freely,Equality,Empowerment,Genuineness",unmet,Chest tightening as momentum slams to a halt; Brows furrowing with a forceful exhale; Hands clenching or pushing against surfaces,,,,,,,,,,,
feeling,Anxious,"You may notice tightness in your shoulders, a quickened pulse, or restlessness in your legs. This feeling may visit when uncertainty combines with concern about outcomes. It reflects the brain’s vigilance system — a useful adaptation that once helped early humans stay safe from unseen dangers.",anxious,"Caged/Boxed-in,Cornered,Criticized,Left out,Pressured,Unseen,Unwanted","Love/Caring,Connection,Belonging,Consideration,Inclusion,Community,Autonomy,Acknowledgement,Appreciation,Clarity,Accountability,Choice,Freedom,Understanding,Recognition,Non-judgmental Communication,Space,To be heard,Relaxation,Security",unmet,"Fluttering or buzzing energy in the stomach; Chest feeling tight with quick, shallow breaths; Hands or feet fidgeting to discharge nerves",,,,,,,,,,,
feeling,Resentful,You may feel tightness in your chest and replay thoughts of unfairness. This feeling may build when past actions still feel unresolved. Researchers often view resentment as an emotional reminder to address unmet needs for fairness or acknowledgment.,resentful,"Cheated,Interrupted,Invalidated,Patronized,Pressured,Provoked,Tricked,Unsupported,Used,Wronged","Support,Consideration,Safety,Respect,Autonomy,Acknowledgement,Appreciation,Trust,Honesty,Clarity,Fairness,Justice,Reliability,Understanding,Recognition,Space,To be heard,Equality,Mutuality,Relaxation,Integrity",unmet,Arms crossing tightly over the chest; Jaw setting with a bitter taste in the mouth; Heat simmering low in the gut,,,,,,,,,,,
feeling,In pain,"Your body’s nerve signals draw focus to a specific spot that needs attention or healing. Pain may bring tears, tension, or stillness. Universally, it may have evolved to protect the body from further harm and prompt restoration.",in-pain,Criticized,"Acknowledgement,Accountability,Understanding,Recognition,Non-judgmental Communication",unmet,Protective hunching around the sore area; Face tightening or wincing reflexively; Breathing becoming shallow to brace discomfort,,,,,,,,,,,
feeling,Embarrassed,"You may feel warmth rise to your face, look down, or avoid eye contact. This feeling occurs when you believe others see you in a way you didn’t intend. Social scientists find embarrassment may have evolved to repair trust by signaling awareness of social norms.",embarrassed,"Criticized,Discounted/Diminished,Ignored,Insulted,Put down,Tricked","Connection,Belonging,Consideration,Inclusion,Community,Respect,Acknowledgement,Trust,Honesty,Accountability,Understanding,Recognition,Non-judgmental Communication,Need to matter,Participation,Integrity",unmet,Cheeks warming or blushing; Hands wanting to cover the face or mouth; Nervous laughter or fidgeting in place,,,,,,,,,,,
feeling,Overwhelmed,"You may notice shallow breathing, mental fog, or the impulse to withdraw. This feeling may arise when demands exceed what your system can process. It may have evolved as a signal to pause, rest, or seek help before depletion.",overwhelmed,"Dumped on,Pressured,Trampled","Connection,Consideration,Community,Respect,To be seen,Acknowledgement,Clarity,Space,Equality,Empowerment,Relaxation",unmet,Tightness spreading across head and shoulders; Chest feeling compressed by invisible weight; Urge to close eyes or press palms against temples,,,,,,,,,,,
feeling,Irritated,You might feel heat behind your eyes or tension around your mouth. Irritation tends to arise from repeated small frustrations or overstimulation. Scientists view it as a mild activation of the same defensive systems that produce anger.,irritated,"Hassled,Wronged","Safety,Respect,Autonomy,Trust,Fairness,Justice,Space,Serenity,Do things at my own pace and in my own way,Calm",unmet,Twitching muscles in the jaw or around the eyes; Shoulders stiffening with quick exhales; Hands flicking or tapping with impatience,,,,,,,,,,,
feeling,Anxiety,"Your stomach may flutter, muscles tense, and thoughts race through possible futures. Anxiety can surface when the unknown feels risky or when you sense you must stay alert. Scientists often believe it may have evolved to help anticipate and prevent harm before it happens.",anxiety,"Intimidated,Violated","Safety,Respect,Trust,Space,Equality,Empowerment,Privacy",unmet,Heart fluttering faster than usual; Nervous tension coiling in the belly; Breath catching high in the throat,,,,,,,,,,,
feeling,Afraid,"Your body may tighten, your pupils widen, and your heart race as adrenaline prepares you for protection or escape. This feeling can arise when something seems uncertain or unsafe. Many scientists suggest fear may have evolved to help humans detect and respond quickly to danger.",afraid,Isolated,"Belonging,Inclusion,Community,Contribution",unmet,Cold rush moving through arms and legs; Body crouching or leaning away from the trigger; Eyes widening with breath stuck mid-inhale,,,,,,,,,,,
feeling,Powerless,You might feel tension drain from your muscles and a sense of collapse in your posture. This feeling may come when outcomes seem beyond your control. Scientists suggest it may have evolved to prevent futile effort and redirect focus toward achievable goals.,powerless,Manipulated,"Connection,Autonomy,Trust,Freedom,Choose Freely,Equality,Empowerment,Genuineness,Accomplishment",unmet,Limbs feeling heavy or drained of strength; Chest collapsing inward with shallow breath; Hands falling open without energy to grip,,,,,,,,,,,
feeling,Impotent,"You may feel your limbs heavy, your chest sunken, and energy withdrawn inward. This feeling may appear when you sense no power to influence events. It may have evolved to conserve resources when immediate action cannot change the outcome.",impotent,Overpowered,"Autonomy,Justice,Freedom,Equality",unmet,"Stomach knotting with a hollow drop; Shoulders slumping as energy drains; Hands loosening, unsure where to act",,,,,,,,,,,
feeling,Helpless,"Your body may feel heavy, your movements slow, and your energy drained. This feeling may come when repeated effort fails to bring change. Researchers often see helplessness as a signal to conserve energy until new strategies or support appear.",helpless,"Overpowered,Victimized","Safety,Autonomy,Justice,Freedom,Equality,Empowerment,Mutuality,Growth",unmet,Weight settling into the hips or knees; Arms hanging limp at the sides; Eyes glazing or looking to others for cues,,,,,,,,,,,
feeling,Tired,"You may feel heaviness in your eyelids, slower thoughts, or a pull toward stillness. Fatigue arises when energy stores are low or overstimulation persists. Rest and sleep needs may have evolved to maintain cellular repair and cognitive clarity.",tired,Overworked,"Love/Caring,Consideration,Respect,Rest",unmet,Eyelids feeling heavy and slow to lift; Limbs dragging with low muscle tone; Yawns stretching the jaw repeatedly,,,,,,,,,,,
feeling,Defiant,Your spine may straighten and your chest expand as energy gathers to resist control. This feeling may appear when autonomy or dignity feels threatened. Psychologists often view defiance as an adaptive impulse to preserve agency and self-direction.,defiant,"Rejected,Threatened","Connection,Belonging,Inclusion,Safety,Autonomy,To be seen,Acknowledgement,Closeness,Growth",unmet,Spine straightening with chin lifted high; Hands planted firmly or fists on hips; Eyes fixed in an unwavering stare,,,,,,,,,,,
feeling,Fear,"Your heartbeat accelerates, palms sweat, and you may instinctively scan your surroundings. This feeling surfaces when safety seems at risk. Evolutionarily, fear’s quick activation of the fight–flight system has been essential for survival.",fear,Smothered/Suffocated,"Autonomy,Freedom,Space,Authenticity,Self expression",unmet,Heart thudding loudly in the chest; Muscles bracing as if for impact; Breath shortening with each scan of the room,,,,,,,,,,,
feeling,Desperation,"You may notice shallow breathing, trembling, or frantic energy as your body seeks a way out. This feeling can arise when options seem few and survival feels uncertain. Biologically, such intensity pushes organisms to take immediate action to restore safety.",desperation,Smothered/Suffocated,"Autonomy,Freedom,Space,Authenticity,Self expression",unmet,Chest heaving as breath becomes ragged; Hands grasping or pleading toward others; Restless pacing or frantic movement in the limbs,,,,,,,,,,,
feeling,Alarmed,"Your heartbeat may spike suddenly, your breath catch, and your body freeze before deciding whether to flee or fight. This feeling may appear when something unexpected challenges your sense of safety. Evolutionarily, this rapid response helps orient attention toward immediate threats.",alarmed,Threatened,"Safety,Autonomy",unmet,Sudden jolt of adrenaline across the body; Eyes snapping wide with eyebrows raised; Hands instinctively lifting in defense,,,,,,,,,,,
feeling,Agitated,"You might feel restless energy in your limbs, shallow breathing, or an urge to move. This state may appear when your mind or environment feels unsettled. It may have evolved to signal the body to prepare for action or to restore balance.",agitated,"Threatened,Violated","Safety,Respect,Autonomy,Trust,Space,Privacy",unmet,Energy buzzing through arms and legs; Breath quickening with sharp exhales; Constant shifting weight from foot to foot,,,,,,,,,,,
feeling,Jealous,"You may feel tightness in the chest or stomach, and your attention may fixate on a valued bond or resource. This feeling surfaces when something precious feels threatened by loss to another. Evolutionary psychologists often describe jealousy as a mechanism to protect attachment and investment in relationships.",jealous,Left out,"Need to matter,Mattering,Inclusion",unmet,Chest tightening with a pinch in the heart area; Eyes narrowing while tracking the rival; Hands clenching subtly as thoughts churn,,,,,,,,,,,
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,anxiety,1.4
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,fear,1.1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,anger,0.9
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,overwhelm,1.1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",sadness,1.1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",grief,1.2
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",stress,1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",guilt,0.9
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",anxiety,1.2
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",fear,1.1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",excited,1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",excited,1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",anger,1.0
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open chest can accompany calm, relief, or joyful connection.",calm,1.2
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open chest can accompany calm, relief, or joyful connection.",relief,1.1
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open chest can accompany calm, relief, or joyful connection.",joyful,0.8
cue,,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open chest can accompany calm, relief, or joyful connection.",gratitude,0.9
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",Rolling sensations can blend anxious worry with hopeful excitement about what is next.,anxiety,1.1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",Rolling sensations can blend anxious worry with hopeful excitement about what is next.,anxiety,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",Rolling sensations can blend anxious worry with hopeful excitement about what is next.,excited,0.9
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",Rolling sensations can blend anxious worry with hopeful excitement about what is next.,excited,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit","Nausea can show up when something feels unsafe, overwhelming, or not right.",anxiety,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit","Nausea can show up when something feels unsafe, overwhelming, or not right.",fear,1.1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit","Nausea can show up when something feels unsafe, overwhelming, or not right.",stress,0.9
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit","Nausea can show up when something feels unsafe, overwhelming, or not right.",overwhelm,0.9
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-emptiness,Hollow or empty,"Sinking, dropping, missing center","Emptiness in the gut can flag sadness, loneliness, or grief.",sadness,1.2
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-emptiness,Hollow or empty,"Sinking, dropping, missing center","Emptiness in the gut can flag sadness, loneliness, or grief.",grief,1.2
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-emptiness,Hollow or empty,"Sinking, dropping, missing center","Emptiness in the gut can flag sadness, loneliness, or grief.",lonely,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-emptiness,Hollow or empty,"Sinking, dropping, missing center","Emptiness in the gut can flag sadness, loneliness, or grief.",numb,0.8
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-warm,Settled or warm,"Grounded fullness, gentle ease",Warmth in the belly can match calm confidence or gentle hope.,hopeful,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-warm,Settled or warm,"Grounded fullness, gentle ease",Warmth in the belly can match calm confidence or gentle hope.,contented,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-warm,Settled or warm,"Grounded fullness, gentle ease",Warmth in the belly can match calm confidence or gentle hope.,calm,1
cue,,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-warm,Settled or warm,"Grounded fullness, gentle ease",Warmth in the belly can match calm confidence or gentle hope.,gratitude,0.9
cue,,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",sadness,1
cue,,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",grief,1
cue,,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",shame,0.9
