bucket,category_key,category_label,trigger,pattern,why,advice
flag_group,traitLabels,Trait / character labels,mean,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,cruel,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,selfish,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,self-centered,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,inconsiderate,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,disrespectful,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unkind,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,toxic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unprofessional,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,inappropriate,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unacceptable,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,problematic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,offensive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,hostile,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,aggressive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,passive-aggressive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,confrontational,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,combative,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,controlling,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,manipulative,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,coercive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,domineering,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,bossy,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,overbearing,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,dismissive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,belittling,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,demeaning,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,condescending,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,patronizing,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,arrogant,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,entitled,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,superior,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,judgmental,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,hypocritical,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,careless,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,sloppy,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,reckless,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,negligent,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,thoughtless,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,lazy,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,apathetic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,indifferent,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unmotivated,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unreliable,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,irresponsible,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,flaky,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,undependable,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,incompetent,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,clueless,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,unqualified,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,incapable,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,immature,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,childish,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,dramatic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,attention-seeking,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,dishonest,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,deceitful,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,two-faced,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,untrustworthy,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,liar,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,bully,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,abusive,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,toxic person,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,gaslighter,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,narcissist,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,narcissistic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,egotistical,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,stupid,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,stupidity,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,dumb,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,idiot,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,idiotic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,fool,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,foolish,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,moron,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,moronic,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,evil,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,bad,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,wrong,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,should,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,shouldn’t,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,shouldn't,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,ought,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,oughtn’t,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,oughtn't,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,supposed to,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,not supposed to,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,must,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,have to,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,need to,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,required to,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,the right thing,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,the wrong thing,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,proper,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,improper,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,respectful,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,disrespectful,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,basic decency,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,common sense,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,out of line,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,moralizingLanguage,Moralizing language,crossed a line,,"Frames behavior in terms of right or wrong instead of concrete, observable details.","Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,on purpose,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,intentionally,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,deliberately,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,trying to,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,meant to,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,wanted to,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,didn’t care,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,didn't care,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,don’t care,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,don't care,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,couldn’t care less,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,couldn't care less,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,to make me feel,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,to get back at me,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,to punish me,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,to manipulate me,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,obviously,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,clearly,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,mindReadingClaims,Mind-reading or motive claims,because you,,Guesses at motives or inner states that a camera could not verify.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,always,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,never,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,forever,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,constantly,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,incessantly,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,every time,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,all the time,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,everyone,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,no one,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,nobody,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,all of you,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,none of you,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,all,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,globalLanguage,Global or absolute language,none,,Uses sweeping absolutes instead of grounding the observation in this instance.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,a lot,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,lots,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,many,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,countless,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,tons of,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,vagueQuantifiers,Vague quantifiers or comparatives,a bunch of,,Uses imprecise quantities or comparisons that aren’t directly measurable.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
