Strategy Title,Strategy Summary,Slug Override,Supports Needs,Contributor Name,Contributor Location
Wall push-ups,Do five slow wall push-ups; feel your strength and breathing.,,,,
Back to wall lean,Press your spine to a wall and breathe into your back for 5 breaths.,,Safety,,
Butterfly taps,Cross arms over chest and tap alternately left/right for 60 seconds.,,"Safety,Peace",,
Hand on heart breaths,"Place a palm on your chest; inhale for 4, exhale for 6, five times.",,"Safety,Peace",,
Box breathing,"Trace a square with your finger: inhale 4, hold 4, exhale 4, hold 4 (4 rounds).",,Peace,,
4-7-8 breathing,"Inhale 4, hold 7, exhale 8 (four cycles).",,"Peace,Rest",,
Alternate-nostril breaths,"Gently alternate closing nostrils; breathe through one, then the other.",,Clarity,,
Count 20 exhalations,"Silently count only the out-breaths from 1 to 20. If you lose count, restart.",,Peace,,
Legs up the wall,Lay with calves on a chair or wall for two minutes.,,Rest,,
Floor starfish,"Lay flat, arms and legs wide, and let the floor hold you for one minute.",,"Safety,Rest,Support",,
Soft-gaze minute,Choose one spot and rest your gaze there for 60 seconds.,,Peace,,
5-4-3-2-1 check,"Name 5 things you see, 4 feel, 3 hear, 2 smell, 1 taste.",,"Safety,Clarity",,
Color hunt,Pick one color and find five items of that color around you.,,,,
Window minute,Open a window and take five fuller breaths of outside air.,,Space,,
Step outside briefly,Step outside (or to a doorway) and notice temperature and light.,,Space,,
Feel your feet,"Place both feet flat; press toes, heels, edges; notice contact.",,Safety,,
Barefoot on grass,"If available, stand barefoot on grass or carpet for 30 seconds.",,,,
Hold something cool,Hold a cool object or an ice cube and notice the sensation for 20 seconds.,,Clarity,,
Sky glance,Look up at the sky and track one cloud or patch of blue for 30 seconds.,,Peace,,
Name three sounds,Listen and name three distinct sounds near or far.,,Clarity,,
Trace an object,"With your finger, trace the outline of any object slowly.",,Beauty,,
One-minute doodle,"Draw lines, dots, or shapes continuously for 60 seconds.",,,,
Write three sentences,Write three unedited sentences about “right now.”,,"Honesty,Clarity",,
Haiku in a minute,Write a 5-7-5 poem about what you notice.,,,,
Name three needs alive,Write down three needs that feel alive for you in this moment.,,Clarity,,
Observation only,Write one sentence describing what happened with zero evaluations.,,"Honesty,Clarity",,
Translate a “should”,Rewrite one “I should…” as “I choose to… because I value…”.,,"Autonomy,Integrity",,
Micro-request to self,"Write one tiny, do-now request you can meet in 2 minutes.",,"Autonomy,Clarity",,
Unsended appreciation,Write a 2-sentence appreciation to yourself; keep it.,,"Acceptance,Recognition",,
Needs → strategies map,List one need and brainstorm three different strategies for it.,,"Choice,Autonomy",,
Circle the priority,List five needs and circle one to tend in the next ten minutes.,,Clarity,,
Name a limit kindly,Say aloud: “I’m not ready to decide yet.”,,"Autonomy,Respect",,
Ask for a pause,Say: “Could we take a 5-minute pause and return at :15?”,,"Mutuality,Consideration,Space",,
Ask for channel shift,Say: “Could we move this to text so I can think?”,,"Autonomy,Clarity,Consideration",,
Ask for specifics,Say: “What would this look like in concrete steps?”,,Clarity,,
Turn on Do Not Disturb,Set DND for 10 minutes; return when the timer ends.,,"Peace,Autonomy",,
Phone face-down,Place phone face-down/out of reach for five minutes.,,"Autonomy,Space",,
One thing off today,Choose one nonessential thing you will not do today.,,Autonomy,,
Two-minute eye rest,Close eyes or look at a far point for two minutes.,,Rest,,
Jaw unclench,Place tongue on the floor of your mouth; relax jaw for 10 breaths.,,,,
Peripheral vision soften,Widen your visual field to the edges for 30 seconds.,,,,
Gentle sway,Stand or sit and sway side-to-side with your breath.,,,,
Slow-walk 60 seconds,"Walk deliberately slowly for one minute, feeling each step.",,Peace,,
Texture touch,"Touch wood, fabric, or stone; describe the texture to yourself.",,,,
Wrap in a blanket,Wrap shoulders and torso; notice warmth and weight.,,"Safety,Rest",,
Pillow nest,Create a quick cushion “nest” behind your back or under knees.,,"Support,Rest",,
Light adjust,Increase or dim the light to suit your body right now.,,Choice,,
Open the blinds,Let natural light in and look outside for 30 seconds.,,Beauty,,
Fresh socks,Change into clean or cozy socks for a reset.,,,,
Posture reset,Sit or stand tall; lengthen spine; soften shoulders.,,,,
One kind text,Send “Thinking of you—no need to reply.” to someone you trust.,,"Connection,Mutuality",,
Specific thank-you,Send a short note naming one action someone did and how it supported you.,,"Appreciation,Recognition,Connection",,
Kind comment online,"Leave a brief, sincere encouragement on a post.",,"Contribution,Community",,
Mirror kindness,Look in a mirror and say one thing you appreciate about your effort today.,,"Recognition,Respect",,
Count backward from 30,Count down slowly; notice your breath syncing with the count.,,,,
Name → need link,"Write one sentence: “When I did/experienced __, the need was __.”",,Clarity,,
Five gratitudes by need,List five gratitudes and tag each with the need it tended.,,Appreciation,,
Parking-lot note,Make a note titled “Parking Lot” and park one worry there.,,Order,,
One next tiny step,Choose the smallest next step on something and do only that.,,,,
Calendar one thing,"Add just one gentle, specific item to your calendar.",,"Predictability,Order,Clarity",,
Mark a date on a calendar,"Circle a meaningful upcoming date (rest day, call, walk).",,Order,,
Name support options,List three people or places you could ask for support when ready.,,"Safety,Support,Choice",,
Self-check scale,Draw a 0–10 line for energy; mark where you are now.,,"Clarity,Honesty",,
Body scan (30 sec),Scan from toes to head naming neutral sensations only.,,Peace,,
Three shapes doodle,"Draw one circle, one triangle, one square repeatedly for a minute.",,,,
Trace your hand,Outline your hand and write a need in each finger.,,Clarity,,
One-foot balance,Stand on one foot near support for 20–30 seconds.,,,,
Breath with steps,"Take ten steps; inhale for two steps, exhale for three.",,Peace,,
Name what’s within control,List three things within your influence today.,,"Clarity,Autonomy",,
Name what’s outside control,List three things outside your influence today.,,"Acceptance,Peace",,
Choose a gentler word,Replace one harsh word in your self-talk with a kinder one.,,Respect,,
Future-walk sketch,Pick a nearby block on a map and sketch a simple future walking loop.,,Autonomy,,
Micro boundary,"Say “No, thank you” to one low-stakes ask today.",,"Autonomy,Respect,Integrity",,
Value compass card,Write five values/needs on a card/note you can glance at.,,"Integrity,Clarity",,
Two-sentence story,Write a two-sentence story about today from your own point of view.,,,,
Read one paragraph,Read one paragraph from any nonfiction page you have nearby.,,Growth,,
One gentle stretch chain,"Reach up, fold forward, roll up—three times, slowly.",,,,
Senses first aid kit,"List one favorite sight, sound, taste, touch, and smell you can access easily.",,,,
Name a want & a don’t,Complete: “I want __ and I don’t want __ because I value __.”,,"Honesty,Clarity,Autonomy",,
Three breaths before reply,Take three breaths before sending your next message.,,"Consideration,Peace",,
Put it on paper,Write a worry on paper and place it in an envelope or book.,,Order,,
Choose a supportive spot,Move to a seat with back support or softer light.,,,,
Micro-celebration,Clap once or do a tiny fist-pump after finishing a task.,,Recognition,,
Name one help to ask,"Write a concrete, doable request you could ask someone this week.",,"Support,Mutuality,Contribution",,
Return to body cue,"Set a simple cue (e.g., every doorframe = one deep breath) for today only.",,,,
Inanimate Interview,"Pick a nearby object and ask it one question (""what's your job here?""). Answer in its voice in one sentence. Smile at whatever comes out.",,"Understanding,Self expression",placeholder,
Ambient Postcard,"On your phone, record a 10-15-second clip of your current space (audio or short video) and save it with a single line about your ""right now""; optionally send it to one person.",,"Belonging,Connection",placeholder,
Align x3,"Choose any three nearby items and apply one simple rule: align one edge, sort big-to-small, or make a clean line. Arrange them once, then stop to register the order you created.",,"Order,Peace",placeholder,
Shadow Line,"Rotate a nearby object until its shadow makes a clean line or pleasing shape, then pause to take in the look you created.",,"Beauty,Order",placeholder,
Exit Count,Pick your preferred exit or safe spot and count the exact number of steps from where you are to there; keep that number in mind.,,"Safety,Security,Calm",placeholder,
Grain Trace,"Run a fingertip along a visible line (wood grain, tile grout, fabric seam, etc.) until it ends, and let that completion register.",,"Calm,Peace",placeholder,
Window Quarter,Use the window frame to pick one small quadrant of the view and give it a one-line title you like; hold that title for a moment.,,"Beauty,Clarity",placeholder,
Scent Caption,"Open a spice, soap, or leaf, take one brief sniff, and write a one-word caption for the scent before closing it.",,"Beauty,Self expression",placeholder,
Corner Count,"Pick any rectangle in view (screen, book, ceiling tile) and count its corners clockwise until you return to the start; let the tidy loop register.",,"Order,Calm",placeholder,
Seat Press,"Press the surface you're on (chair, floor, bed) firmly once with your palm or thigh and say ""held"" quietly; note the contact, then stop.",,"Safety,Space",placeholder,
Nearest Job,"Pick the nearest object and state its job in two words (e.g., ""mug—holds"", ""pen—marks""); enjoy the tidy accuracy and you're done.",,"Understanding,Clarity",placeholder,
