cue,patterns (|),feelings (|),needs (|),example
boss-i-feel-like-phrasing,I feel like they ignored me|I feel like no one cares|I feel like they did this on purpose,hurt|sad|lonely|anxious,to-be-heard|acknowledgement|understanding|connection,I feel like no one cared about my message today.
boss-because-clause,they left because I spoke up|they changed plans because of me|they did it because I said no,hurt|sad|lonely|anxious,to-be-heard|respect|mutuality|understanding,"They left right after I spoke up, saying it was because I challenged the idea."
boss-after-clause,"after I shared, no response|after I asked, they went silent|after I arrived, the plan changed",confused|uncertain|anxious|unsettled,clarity|respect|consideration|predictability,"After I asked a question, they went silent."
boss-comparison-better-than,"compared me to someone else|'unlike X, you' from boss|said others do it better",hurt|sad|lonely|anxious,to-be-seen|fairness|acknowledgement|respect,boss said someone else handles it better than me.
boss-apology-missing,no apology after mistake|never apologized|didn't say sorry,hurt|sad|lonely|anxious,accountability|repair|respect|honesty,"After the mistake, there was no apology from boss."
manager-ignored-message,manager ignored my message|manager left me on read|manager did not reply|seen .* no reply from manager|I feel like manager ignored me|ignored my message|left me on read|did not reply|I feel like ignored me,hurt|sad|lonely|anxious,to-be-seen|connection|belonging|consideration,I sent two messages to manager and saw 'seen' with no reply for 48 hours.
manager-changed-plan-without-asking,manager changed the plan without asking|manager decided for me|manager made plans without me|manager told me I had to|changed the plan without asking|decided for me|made plans without me|told me I had to,frustrated|pressured|tired|resentful,autonomy|choice|freedom|mutuality,manager changed the plan and told me what I'd be doing without checking.
manager-overcharged,charged .* extra at checkout|price higher than quoted by manager|fee added after total|tip changed after payment,confused|uncertain|anxious|unsettled,clarity|fairness|trust|honesty,The final bill from manager included a fee that wasn't in the quote.
manager-lost-item,lost my .*|my .* was misplaced|manager can't find my paperwork|manager lost my paperwork|can't find my paperwork|lost my paperwork,frustrated|pressured|tired|resentful,care|clarity|acknowledgement|responsibility,manager couldn't find the paperwork I handed them last week.
manager-breach-privacy,manager shared my info without consent|manager forwarded my email|manager posted my photo without asking|screenshot of our chat shared by manager|shared my info without consent|forwarded my email|posted my photo without asking,confused|uncertain|anxious|unsettled,privacy|autonomy|respect|safety,manager posted a screenshot of our chat in a group without asking.
manager-public-criticism,manager criticized me in public|manager called me out in front of others|manager pointed out my mistake loudly|criticized me in public|called me out in front of others|pointed out my mistake loudly,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,manager highlighted my mistake during the meeting while others watched.
manager-credit-taken,manager took credit for my work|manager presented my work as theirs|manager left my name off|took credit for my work|presented my work as theirs|left my name off,jealous|hurt|angry|anxious,acknowledgement|recognition|fairness|respect,My contribution was presented by manager without my name mentioned.
manager-deadline-moved-earlier,deadline moved up by manager|due date pulled earlier by manager|asked for delivery sooner than agreed by manager,overwhelmed|pressured|tired|anxious,support|do-things-at-my-own-pace-and-in-my-own-way|consideration|rest,The due date was moved from Friday to Wednesday without checking my capacity.
manager-muted-or-removed,manager muted me|manager removed me from the call|manager kicked me from the channel|muted me|removed me from the call|kicked me from the channel,embarrassed|hurt|anxious|lonely,respect|autonomy|consideration|to-be-heard,manager muted me while I was speaking.
manager-meeting-started-without-me,meeting started early|decisions made before I joined|manager began before scheduled time|began before scheduled time,confused|uncertain|anxious|unsettled,consideration|inclusion|predictability|respect,"When I joined at the scheduled time, they were already on agenda item two."
manager-form-closed-early,form closed early|submission window ended early|link closed before deadline,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The application portal closed hours before the stated deadline.
manager-appointment-canceled-last-minute,appointment canceled last minute by manager|canceled same day|backed out with short notice,hurt|sad|lonely|anxious,reliability|support|consideration|security,manager canceled 30 minutes before the appointment.
manager-name-misspelled-after-correction,kept misspelling my name|used the wrong name after I corrected it|name still wrong in records,hurt|sad|lonely|anxious,respect|honor|to-be-seen|belonging,"After I corrected them, manager kept spelling my name wrong."
manager-conditional-invite,invited only if .*|'you can come if' from manager|included conditionally in plans,hurt|sad|lonely|anxious,belonging|inclusion|to-be-seen|respect,manager said I could come only if I handled the driving.
manager-backhanded-compliment,manager gave a backhanded compliment|'for someone like you' comment from manager|compliment with a dig|gave a backhanded compliment,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,"manager said, 'You're articulate for someone so young.'"
manager-gaslight-phrases,manager said 'that's not what happened' after I described it|manager said I'm imagining things|'you're crazy' from manager|said 'that's not what happened' after I described it|said I'm imagining things,confused|uncertain|anxious|unsettled,understanding|honesty|trust|respect,"After I described the email, manager said it never happened."
manager-omitted-context,manager left out key info|manager didn't share the requirement|manager omitted the deadline|left out key info|didn't share the requirement|omitted the deadline,confused|uncertain|anxious|unsettled,clarity|honesty|support|fairness,I learned the requirement only after the submission closed.
manager-policy-enforced-selectively,rule applied to me not others|selective enforcement by manager|inconsistent policy enforcement,frustrated|pressured|tired|resentful,justice|fairness|respect|acknowledgement,Others got exceptions that I was denied.
manager-moderation-removed-no-reason,manager removed my post without reason|thread locked by manager|comment deleted without explanation|removed my post without reason,silenced|frustrated|lonely|powerless,participation|to-be-heard|consideration|mutuality,A moderator removed my post without any reason.
manager-algorithm-shadowban,my posts get no views|content hidden without notice|no one can see my posts,confused|uncertain|anxious|unsettled,clarity|predictability|justice|respect,My post views dropped to zero with no explanation.
manager-accessibility-gap,no captions provided|slides not accessible|no ramp available at venue,excluded|anxious|discouraged|frustrated,access|inclusion|respect|support,The webinar had no captions despite prior requests.
manager-parking-issue,parking spot taken despite permit|assigned spot occupied|blocked my car,frustrated|pressured|tired|resentful,fairness|clarity|respect|predictability,My assigned spot was taken and no alternative was offered.
manager-noise-violation-night,loud noise during quiet hours|party past quiet hours|music kept me up,overwhelmed|pressured|tired|anxious,rest|consideration|peace|respect,Music played loudly past midnight through the shared wall.
manager-thermostat-changed,thermostat changed without asking|temperature changed without checking|ac set very cold without asking,frustrated|pressured|tired|resentful,comfort|consideration|communication|respect,The thermostat was turned down while I was still working.
manager-paperwork-lost-agency,agency lost my documents|office misplaced my file|documents missing after submission,frustrated|pressured|tired|resentful,clarity|responsibility|acknowledgement|support,The office couldn't find the forms I submitted last month.
manager-immigration-appointment-changed,appointment rescheduled without notice|time changed after I confirmed|new date assigned without asking,anxious|tense|worried|uneasy,predictability|consideration|respect|clarity,The appointment was moved to a weekday morning without checking my availability.
manager-bank-fee-added,unexpected bank fee|maintenance fee added|account charged without explanation,confused|uncertain|anxious|unsettled,clarity|fairness|trust|honesty,A fee appeared on my account with no explanation.
manager-customer-service-loop,stuck in automated loop|can't reach a person|support bot replies only,frustrated|pressured|tired|resentful,support|access|clarity|consideration,The support line kept sending automated messages without connecting me to a person.
manager-safety-ignored,ignored safety protocol|didn't wear required gear|skipped the safety step,alarmed|scared|tense|anxious,safety|predictability|trust|care,manager began the procedure without wearing the required gloves.
manager-appointment-overbooked,double-booked my slot|two appointments at same time|overbooked schedule,anxious|tense|worried|uneasy,order|predictability|consideration|respect,Two appointments were booked at the same time for me.
manager-refused-accommodation,refused accommodation request|declined interpreter|didn't allow extra time,excluded|tense|anxious|frustrated,access|inclusion|respect|support,My request for captions was declined without alternatives.
manager-returned-item-denied,return denied without reason|store refused my return|policy not posted but used,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The return was denied and no policy was shown.
manager-room-entered-without-consent,entered my room without knocking|opened my door without asking|came in unannounced,alarmed|scared|tense|anxious,space|privacy|safety|respect,manager opened my door and stepped in without knocking.
manager-belongings-moved,moved my things without asking|rearranged my desk|tidied my items without checking,frustrated|pressured|tired|resentful,autonomy|space|respect|consideration,My labeled folders were moved to a cabinet.
manager-back-to-back-meetings,scheduled meetings back to back|no breaks between calls|stacked calendar without space,overwhelmed|pressured|tired|anxious,support|do-things-at-my-own-pace-and-in-my-own-way|consideration|rest,Three meetings were booked with no buffer in between.
manager-i-feel-like-phrasing,I feel like they ignored me|I feel like no one cares|I feel like they did this on purpose,hurt|sad|lonely|anxious,to-be-heard|acknowledgement|understanding|connection,I feel like no one cared about my message today.
manager-because-clause,they left because I spoke up|they changed plans because of me|they did it because I said no,hurt|sad|lonely|anxious,to-be-heard|respect|mutuality|understanding,"They left right after I spoke up, saying it was because I challenged the idea."
manager-after-clause,"after I shared, no response|after I asked, they went silent|after I arrived, the plan changed",confused|uncertain|anxious|unsettled,clarity|respect|consideration|predictability,"After I asked a question, they went silent."
manager-comparison-better-than,"compared me to someone else|'unlike X, you' from manager|said others do it better",hurt|sad|lonely|anxious,to-be-seen|fairness|acknowledgement|respect,manager said someone else handles it better than me.
manager-apology-missing,no apology after mistake|never apologized|didn't say sorry,hurt|sad|lonely|anxious,accountability|repair|respect|honesty,"After the mistake, there was no apology from manager."
coworker-ignored-message,coworker ignored my message|coworker left me on read|coworker did not reply|seen .* no reply from coworker|I feel like coworker ignored me|ignored my message|left me on read|did not reply|I feel like ignored me,hurt|sad|lonely|anxious,to-be-seen|connection|belonging|consideration,I sent two messages to coworker and saw 'seen' with no reply for 48 hours.
coworker-changed-plan-without-asking,coworker changed the plan without asking|coworker decided for me|coworker made plans without me|coworker told me I had to|changed the plan without asking|decided for me|made plans without me|told me I had to,frustrated|pressured|tired|resentful,autonomy|choice|freedom|mutuality,coworker changed the plan and told me what I'd be doing without checking.
coworker-overcharged,charged .* extra at checkout|price higher than quoted by coworker|fee added after total|tip changed after payment,confused|uncertain|anxious|unsettled,clarity|fairness|trust|honesty,The final bill from coworker included a fee that wasn't in the quote.
coworker-lost-item,lost my .*|my .* was misplaced|coworker can't find my paperwork|coworker lost my paperwork|can't find my paperwork|lost my paperwork,frustrated|pressured|tired|resentful,care|clarity|acknowledgement|responsibility,coworker couldn't find the paperwork I handed them last week.
coworker-breach-privacy,coworker shared my info without consent|coworker forwarded my email|coworker posted my photo without asking|screenshot of our chat shared by coworker|shared my info without consent|forwarded my email|posted my photo without asking,confused|uncertain|anxious|unsettled,privacy|autonomy|respect|safety,coworker posted a screenshot of our chat in a group without asking.
coworker-public-criticism,coworker criticized me in public|coworker called me out in front of others|coworker pointed out my mistake loudly|criticized me in public|called me out in front of others|pointed out my mistake loudly,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,coworker highlighted my mistake during the meeting while others watched.
coworker-credit-taken,coworker took credit for my work|coworker presented my work as theirs|coworker left my name off|took credit for my work|presented my work as theirs|left my name off,jealous|hurt|angry|anxious,acknowledgement|recognition|fairness|respect,My contribution was presented by coworker without my name mentioned.
coworker-deadline-moved-earlier,deadline moved up by coworker|due date pulled earlier by coworker|asked for delivery sooner than agreed by coworker,overwhelmed|pressured|tired|anxious,support|do-things-at-my-own-pace-and-in-my-own-way|consideration|rest,The due date was moved from Friday to Wednesday without checking my capacity.
coworker-muted-or-removed,coworker muted me|coworker removed me from the call|coworker kicked me from the channel|muted me|removed me from the call|kicked me from the channel,embarrassed|hurt|anxious|lonely,respect|autonomy|consideration|to-be-heard,coworker muted me while I was speaking.
coworker-meeting-started-without-me,meeting started early|decisions made before I joined|coworker began before scheduled time|began before scheduled time,confused|uncertain|anxious|unsettled,consideration|inclusion|predictability|respect,"When I joined at the scheduled time, they were already on agenda item two."
coworker-form-closed-early,form closed early|submission window ended early|link closed before deadline,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The application portal closed hours before the stated deadline.
coworker-appointment-canceled-last-minute,appointment canceled last minute by coworker|canceled same day|backed out with short notice,hurt|sad|lonely|anxious,reliability|support|consideration|security,coworker canceled 30 minutes before the appointment.
coworker-name-misspelled-after-correction,kept misspelling my name|used the wrong name after I corrected it|name still wrong in records,hurt|sad|lonely|anxious,respect|honor|to-be-seen|belonging,"After I corrected them, coworker kept spelling my name wrong."
coworker-conditional-invite,invited only if .*|'you can come if' from coworker|included conditionally in plans,hurt|sad|lonely|anxious,belonging|inclusion|to-be-seen|respect,coworker said I could come only if I handled the driving.
coworker-backhanded-compliment,coworker gave a backhanded compliment|'for someone like you' comment from coworker|compliment with a dig|gave a backhanded compliment,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,"coworker said, 'You're articulate for someone so young.'"
coworker-gaslight-phrases,coworker said 'that's not what happened' after I described it|coworker said I'm imagining things|'you're crazy' from coworker|said 'that's not what happened' after I described it|said I'm imagining things,confused|uncertain|anxious|unsettled,understanding|honesty|trust|respect,"After I described the email, coworker said it never happened."
coworker-omitted-context,coworker left out key info|coworker didn't share the requirement|coworker omitted the deadline|left out key info|didn't share the requirement|omitted the deadline,confused|uncertain|anxious|unsettled,clarity|honesty|support|fairness,I learned the requirement only after the submission closed.
coworker-policy-enforced-selectively,rule applied to me not others|selective enforcement by coworker|inconsistent policy enforcement,frustrated|pressured|tired|resentful,justice|fairness|respect|acknowledgement,Others got exceptions that I was denied.
coworker-moderation-removed-no-reason,coworker removed my post without reason|thread locked by coworker|comment deleted without explanation|removed my post without reason,silenced|frustrated|lonely|powerless,participation|to-be-heard|consideration|mutuality,A moderator removed my post without any reason.
coworker-algorithm-shadowban,my posts get no views|content hidden without notice|no one can see my posts,confused|uncertain|anxious|unsettled,clarity|predictability|justice|respect,My post views dropped to zero with no explanation.
coworker-accessibility-gap,no captions provided|slides not accessible|no ramp available at venue,excluded|anxious|discouraged|frustrated,access|inclusion|respect|support,The webinar had no captions despite prior requests.
coworker-parking-issue,parking spot taken despite permit|assigned spot occupied|blocked my car,frustrated|pressured|tired|resentful,fairness|clarity|respect|predictability,My assigned spot was taken and no alternative was offered.
coworker-noise-violation-night,loud noise during quiet hours|party past quiet hours|music kept me up,overwhelmed|pressured|tired|anxious,rest|consideration|peace|respect,Music played loudly past midnight through the shared wall.
coworker-thermostat-changed,thermostat changed without asking|temperature changed without checking|ac set very cold without asking,frustrated|pressured|tired|resentful,comfort|consideration|communication|respect,The thermostat was turned down while I was still working.
coworker-paperwork-lost-agency,agency lost my documents|office misplaced my file|documents missing after submission,frustrated|pressured|tired|resentful,clarity|responsibility|acknowledgement|support,The office couldn't find the forms I submitted last month.
coworker-immigration-appointment-changed,appointment rescheduled without notice|time changed after I confirmed|new date assigned without asking,anxious|tense|worried|uneasy,predictability|consideration|respect|clarity,The appointment was moved to a weekday morning without checking my availability.
coworker-bank-fee-added,unexpected bank fee|maintenance fee added|account charged without explanation,confused|uncertain|anxious|unsettled,clarity|fairness|trust|honesty,A fee appeared on my account with no explanation.
coworker-customer-service-loop,stuck in automated loop|can't reach a person|support bot replies only,frustrated|pressured|tired|resentful,support|access|clarity|consideration,The support line kept sending automated messages without connecting me to a person.
coworker-safety-ignored,ignored safety protocol|didn't wear required gear|skipped the safety step,alarmed|scared|tense|anxious,safety|predictability|trust|care,coworker began the procedure without wearing the required gloves.
coworker-appointment-overbooked,double-booked my slot|two appointments at same time|overbooked schedule,anxious|tense|worried|uneasy,order|predictability|consideration|respect,Two appointments were booked at the same time for me.
coworker-refused-accommodation,refused accommodation request|declined interpreter|didn't allow extra time,excluded|tense|anxious|frustrated,access|inclusion|respect|support,My request for captions was declined without alternatives.
coworker-returned-item-denied,return denied without reason|store refused my return|policy not posted but used,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The return was denied and no policy was shown.
coworker-room-entered-without-consent,entered my room without knocking|opened my door without asking|came in unannounced,alarmed|scared|tense|anxious,space|privacy|safety|respect,coworker opened my door and stepped in without knocking.
coworker-belongings-moved,moved my things without asking|rearranged my desk|tidied my items without checking,frustrated|pressured|tired|resentful,autonomy|space|respect|consideration,My labeled folders were moved to a cabinet.
coworker-back-to-back-meetings,scheduled meetings back to back|no breaks between calls|stacked calendar without space,overwhelmed|pressured|tired|anxious,support|do-things-at-my-own-pace-and-in-my-own-way|consideration|rest,Three meetings were booked with no buffer in between.
coworker-i-feel-like-phrasing,I feel like they ignored me|I feel like no one cares|I feel like they did this on purpose,hurt|sad|lonely|anxious,to-be-heard|acknowledgement|understanding|connection,I feel like no one cared about my message today.
coworker-because-clause,they left because I spoke up|they changed plans because of me|they did it because I said no,hurt|sad|lonely|anxious,to-be-heard|respect|mutuality|understanding,"They left right after I spoke up, saying it was because I challenged the idea."
coworker-after-clause,"after I shared, no response|after I asked, they went silent|after I arrived, the plan changed",confused|uncertain|anxious|unsettled,clarity|respect|consideration|predictability,"After I asked a question, they went silent."
coworker-comparison-better-than,"compared me to someone else|'unlike X, you' from coworker|said others do it better",hurt|sad|lonely|anxious,to-be-seen|fairness|acknowledgement|respect,coworker said someone else handles it better than me.
coworker-apology-missing,no apology after mistake|never apologized|didn't say sorry,hurt|sad|lonely|anxious,accountability|repair|respect|honesty,"After the mistake, there was no apology from coworker."
hr-ignored-message,hr ignored my message|hr left me on read|hr did not reply|seen .* no reply from hr|I feel like hr ignored me|ignored my message|left me on read|did not reply|I feel like ignored me,hurt|sad|lonely|anxious,to-be-seen|connection|belonging|consideration,I sent two messages to hr and saw 'seen' with no reply for 48 hours.
hr-changed-plan-without-asking,hr changed the plan without asking|hr decided for me|hr made plans without me|hr told me I had to|changed the plan without asking|decided for me|made plans without me|told me I had to,frustrated|pressured|tired|resentful,autonomy|choice|freedom|mutuality,hr changed the plan and told me what I'd be doing without checking.
hr-overcharged,charged .* extra at checkout|price higher than quoted by hr|fee added after total|tip changed after payment,confused|uncertain|anxious|unsettled,clarity|fairness|trust|honesty,The final bill from hr included a fee that wasn't in the quote.
hr-lost-item,lost my .*|my .* was misplaced|hr can't find my paperwork|hr lost my paperwork|can't find my paperwork|lost my paperwork,frustrated|pressured|tired|resentful,care|clarity|acknowledgement|responsibility,hr couldn't find the paperwork I handed them last week.
hr-breach-privacy,hr shared my info without consent|hr forwarded my email|hr posted my photo without asking|screenshot of our chat shared by hr|shared my info without consent|forwarded my email|posted my photo without asking,confused|uncertain|anxious|unsettled,privacy|autonomy|respect|safety,hr posted a screenshot of our chat in a group without asking.
hr-public-criticism,hr criticized me in public|hr called me out in front of others|hr pointed out my mistake loudly|criticized me in public|called me out in front of others|pointed out my mistake loudly,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,hr highlighted my mistake during the meeting while others watched.
hr-credit-taken,hr took credit for my work|hr presented my work as theirs|hr left my name off|took credit for my work|presented my work as theirs|left my name off,jealous|hurt|angry|anxious,acknowledgement|recognition|fairness|respect,My contribution was presented by hr without my name mentioned.
hr-deadline-moved-earlier,deadline moved up by hr|due date pulled earlier by hr|asked for delivery sooner than agreed by hr,overwhelmed|pressured|tired|anxious,support|do-things-at-my-own-pace-and-in-my-own-way|consideration|rest,The due date was moved from Friday to Wednesday without checking my capacity.
hr-muted-or-removed,hr muted me|hr removed me from the call|hr kicked me from the channel|muted me|removed me from the call|kicked me from the channel,embarrassed|hurt|anxious|lonely,respect|autonomy|consideration|to-be-heard,hr muted me while I was speaking.
hr-meeting-started-without-me,meeting started early|decisions made before I joined|hr began before scheduled time|began before scheduled time,confused|uncertain|anxious|unsettled,consideration|inclusion|predictability|respect,"When I joined at the scheduled time, they were already on agenda item two."
hr-form-closed-early,form closed early|submission window ended early|link closed before deadline,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The application portal closed hours before the stated deadline.
hr-appointment-canceled-last-minute,appointment canceled last minute by hr|canceled same day|backed out with short notice,hurt|sad|lonely|anxious,reliability|support|consideration|security,hr canceled 30 minutes before the appointment.
hr-name-misspelled-after-correction,kept misspelling my name|used the wrong name after I corrected it|name still wrong in records,hurt|sad|lonely|anxious,respect|honor|to-be-seen|belonging,"After I corrected them, hr kept spelling my name wrong."
hr-conditional-invite,invited only if .*|'you can come if' from hr|included conditionally in plans,hurt|sad|lonely|anxious,belonging|inclusion|to-be-seen|respect,hr said I could come only if I handled the driving.
hr-backhanded-compliment,hr gave a backhanded compliment|'for someone like you' comment from hr|compliment with a dig|gave a backhanded compliment,embarrassed|hurt|anxious|lonely,respect|to-be-heard|consideration|honor,"hr said, 'You're articulate for someone so young.'"
hr-gaslight-phrases,hr said 'that's not what happened' after I described it|hr said I'm imagining things|'you're crazy' from hr|said 'that's not what happened' after I described it|said I'm imagining things,confused|uncertain|anxious|unsettled,understanding|honesty|trust|respect,"After I described the email, hr said it never happened."
hr-omitted-context,hr left out key info|hr didn't share the requirement|hr omitted the deadline|left out key info|didn't share the requirement|omitted the deadline,confused|uncertain|anxious|unsettled,clarity|honesty|support|fairness,I learned the requirement only after the submission closed.
hr-policy-enforced-selectively,rule applied to me not others|selective enforcement by hr|inconsistent policy enforcement,frustrated|pressured|tired|resentful,justice|fairness|respect|acknowledgement,Others got exceptions that I was denied.
hr-moderation-removed-no-reason,hr removed my post without reason|thread locked by hr|comment deleted without explanation|removed my post without reason,silenced|frustrated|lonely|powerless,participation|to-be-heard|consideration|mutuality,A moderator removed my post without any reason.
hr-algorithm-shadowban,my posts get no views|content hidden without notice|no one can see my posts,confused|uncertain|anxious|unsettled,clarity|predictability|justice|respect,My post views dropped to zero with no explanation.
hr-accessibility-gap,no captions provided|slides not accessible|no ramp available at venue,excluded|anxious|discouraged|frustrated,access|inclusion|respect|support,The webinar had no captions despite prior requests.
